year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.042370,-0.141704,0.900665,28.633000,2.570000,0.000000,2.632000,17.187500,0.720000,0.900000
2000,1,2,730487,0.655521,0.261205,0.916726,28.808000,2.944000,0.000000,2.883000,33.625000,1.443600,0.050000
2000,1,3,730488,0.232359,0.694628,0.926987,28.540000,3.511000,0.048486,3.063000,25.312500,1.144800,0.000000
2000,1,4,730489,0.880033,0.144117,1.024150,28.427000,3.897000,0.072732,4.532000,22.500000,0.860400,9.900000
2000,1,5,730490,-0.149133,1.146980,0.997851,28.490000,3.896000,0.298007,3.400000,81.000000,4.073400,0.200000
2000,1,6,730491,0.070951,1.229420,1.300370,28.385000,4.009000,0.607946,4.789000,69.000000,3.308400,2.700000
2000,1,7,730492,0.013939,1.421360,1.435290,28.354000,4.265000,0.480030,3.866000,57.395833,2.734200,0.000000
2000,1,8,730493,0.467436,1.099110,1.566540,28.256000,4.077000,0.314497,3.061000,25.791667,1.069200,1.950000
2000,1,9,730494,0.211456,1.449200,1.660650,28.200000,4.120000,0.076294,2.204000,41.458333,2.082600,1.350000
2000,1,10,730495,0.402720,1.090130,1.492850,28.200000,3.441000,0.435259,-0.612000,76.937500,3.877200,0.000000
2000,1,11,730496,0.421283,0.938115,1.359400,28.188000,2.558000,0.230978,-2.888000,92.229167,4.523400,0.100000
2000,1,12,730497,0.948213,0.889490,1.837700,28.112000,2.543000,NaN,-0.402000,NaN,NaN,0.000000
2000,1,13,730498,0.871459,1.146680,2.018140,28.018000,2.495000,NaN,-0.218000,NaN,NaN,0.000000
2000,1,14,730499,1.357710,0.896638,2.254350,27.952000,2.220000,0.299886,0.200000,24.447917,1.029600,0.100000
2000,1,15,730500,1.287520,1.066010,2.353530,27.900000,2.328000,0.504423,-0.131000,31.333333,1.364400,0.100000
2000,1,16,730501,1.048060,1.063610,2.111670,27.890000,2.183000,0.630287,-0.520000,46.729167,2.059200,0.250000
2000,1,17,730502,1.541720,0.727894,2.269610,27.800000,2.785000,0.000000,2.820000,12.854167,0.579600,0.050000
2000,1,18,730503,1.785820,0.182127,1.967950,27.842000,3.333000,0.126209,2.924000,22.916667,1.002600,5.000000
2000,1,19,730504,0.959541,0.599587,1.559130,27.996000,3.006000,0.719111,0.698000,20.812500,0.853200,0.000000
2000,1,20,730505,1.281300,0.170798,1.452100,27.969000,2.794000,0.308999,0.411000,21.104167,0.873000,0.300000
2000,1,21,730506,1.547670,-0.032691,1.514980,28.094000,2.827000,0.037711,1.581000,14.760417,0.604800,9.900000
2000,1,22,730507,0.956814,0.314733,1.271550,28.300000,2.687000,0.004027,0.429000,22.791667,0.844200,10.300000
2000,1,23,730508,0.875598,0.141084,1.016680,28.315000,2.394000,0.033864,-0.774000,36.437500,1.027800,3.100000
2000,1,24,730509,0.620075,-0.136659,0.483416,28.348000,2.037000,0.377864,-6.987000,126.083333,1.786217,3.100000
2000,1,25,730510,0.425866,0.018688,0.444554,28.285000,1.332000,0.529125,-5.992000,125.166667,1.895244,2.600000
2000,1,26,730511,1.098820,-0.698741,0.400075,28.200000,0.911000,0.497829,-4.749000,64.979167,1.566000,0.000000
2000,1,27,730512,2.073550,-1.699200,0.374343,28.148000,0.984000,1.080387,-2.307000,129.687500,2.430769,0.900000
2000,1,28,730513,1.073690,-0.843035,0.230658,28.069000,0.735000,1.482970,-2.694000,74.625000,2.552400,0.000000
2000,1,29,730514,0.186081,-0.000104,0.185977,28.619000,0.888000,0.068290,4.390000,14.562500,0.558000,19.700000
2000,1,30,730515,0.999090,-0.845343,0.153747,29.581000,2.719000,0.100289,7.181000,19.270833,0.801000,22.100000
