year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,2,730487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,3,730488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,4,730489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,5,730490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,6,730491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,7,730492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,8,730493,-2.689249,3.674738,0.985489,NaN,26.009270,NaN,24.506979,NaN,NaN,NaN
2000,1,9,730494,-2.627727,3.613216,0.985489,NaN,24.077917,NaN,25.764063,NaN,NaN,NaN
2000,1,10,730495,-2.293667,3.279157,0.985489,NaN,24.439375,NaN,26.191511,NaN,20.637098,2.693573
2000,1,11,730496,-2.537605,3.489203,0.951597,NaN,24.438957,NaN,26.517761,NaN,21.720709,0.000000
2000,1,12,730497,-1.699059,2.500068,0.801009,NaN,25.225624,NaN,25.133543,NaN,10.831962,0.300000
2000,1,13,730498,-2.306141,3.347376,1.041235,NaN,25.477915,NaN,24.673021,NaN,13.384063,10.375000
2000,1,14,730499,-2.633225,3.823143,1.189918,NaN,24.540833,NaN,25.070572,NaN,14.968056,0.425000
2000,1,15,730500,-2.214020,3.561069,1.347049,NaN,24.558645,NaN,25.676302,NaN,19.923933,6.400001
2000,1,16,730501,-1.818117,3.188156,1.370039,NaN,25.185938,NaN,24.593437,NaN,13.537403,0.400000
2000,1,17,730502,-1.499679,2.809164,1.309485,NaN,24.999479,NaN,24.206511,NaN,11.256957,5.875000
2000,1,18,730503,-2.641243,3.601942,0.960699,NaN,24.787706,NaN,24.145262,NaN,17.710680,11.125000
2000,1,19,730504,0.025833,0.761320,0.787153,NaN,25.009478,NaN,23.632082,NaN,7.877052,30.599998
2000,1,20,730505,-1.543863,1.652274,0.108411,NaN,24.298853,NaN,24.368021,NaN,17.461367,0.400000
2000,1,21,730506,-2.210615,2.210616,0.000001,NaN,24.221411,NaN,25.485678,NaN,17.558832,2.150000
2000,1,22,730507,-1.101302,1.101303,0.000001,NaN,24.690819,NaN,24.468283,NaN,14.483077,15.850000
2000,1,23,730508,-1.650449,1.650450,0.000001,NaN,24.640131,NaN,25.030470,NaN,15.969890,7.350000
2000,1,24,730509,-1.494512,1.494513,0.000001,NaN,24.616064,NaN,24.691614,NaN,14.324347,1.050000
2000,1,25,730510,-2.005581,2.059208,0.053627,NaN,24.485168,NaN,24.876770,NaN,16.900885,5.000000
2000,1,26,730511,-2.133701,2.549839,0.416138,NaN,24.388350,NaN,25.823072,NaN,14.704847,0.000000
2000,1,27,730512,-2.610982,3.438967,0.827985,NaN,24.062181,NaN,26.965416,NaN,17.706945,0.200000
2000,1,28,730513,-2.906502,4.146333,1.239831,NaN,NaN,NaN,26.308958,NaN,14.261328,0.000000
2000,1,29,730514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,30,730515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,31,730516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,1,730517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,2,730518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,3,730519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,4,730520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,5,730521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,6,730522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,7,730523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,8,730524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,9,730525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
