year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,3.480286,2.112502,5.592788,NaN,NaN,2.384781,24.670141,NaN,12.791122,38.993999
2000,1,2,730487,-0.343654,5.915055,5.571401,NaN,NaN,2.572993,24.572344,NaN,8.232675,1.906000
2000,1,3,730488,-1.326594,6.716295,5.389701,NaN,NaN,2.231230,23.727501,NaN,9.093493,5.096000
2000,1,4,730489,-5.217260,10.736974,5.519714,NaN,NaN,4.258698,24.444269,NaN,13.988346,0.000000
2000,1,5,730490,-0.418767,5.307126,4.888359,NaN,NaN,3.253972,24.027031,NaN,10.541267,1.399000
2000,1,6,730491,-6.100176,10.961769,4.861592,NaN,NaN,4.771987,24.262865,NaN,12.725243,0.200000
2000,1,7,730492,-5.655213,11.027141,5.371928,NaN,NaN,6.627443,26.000626,NaN,17.015167,0.000000
2000,1,8,730493,-4.808393,9.509655,4.701262,NaN,NaN,8.067394,26.171041,NaN,21.420935,0.000000
2000,1,9,730494,-3.806910,10.281377,6.474466,NaN,NaN,6.023005,25.895521,NaN,10.625370,0.400000
2000,1,10,730495,-3.248221,9.563250,6.315029,NaN,NaN,4.870484,25.188593,NaN,16.616821,11.800000
2000,1,11,730496,-4.868637,11.104011,6.235374,NaN,NaN,5.158455,25.836718,NaN,15.905043,4.200000
2000,1,12,730497,-1.792910,7.542556,5.749646,NaN,NaN,2.381442,24.376043,NaN,9.634325,0.415000
2000,1,13,730498,-2.966457,8.296080,5.329622,NaN,NaN,4.051349,24.517708,NaN,16.388666,7.986000
2000,1,14,730499,-4.227307,9.475067,5.247760,NaN,NaN,3.693097,24.513437,NaN,15.606665,17.203001
2000,1,15,730500,-1.829202,7.177412,5.348210,NaN,NaN,3.964738,25.023386,NaN,14.445404,3.201000
2000,1,16,730501,-4.115759,9.293852,5.178092,NaN,NaN,3.032655,24.642082,NaN,15.666852,31.200001
2000,1,17,730502,-1.562819,6.097754,4.534935,NaN,NaN,2.372503,24.020052,NaN,12.606374,21.799999
2000,1,18,730503,-4.812370,9.293949,4.481579,NaN,NaN,3.707817,23.957344,NaN,14.006586,0.400000
2000,1,19,730504,-4.649745,9.584395,4.934650,NaN,NaN,3.744699,24.655104,NaN,18.060133,9.400001
2000,1,20,730505,-0.248665,5.038999,4.790333,NaN,NaN,1.722224,23.803490,NaN,8.220385,10.199000
2000,1,21,730506,-4.123213,9.719381,5.596168,NaN,NaN,5.717682,25.398125,NaN,23.267084,0.400000
2000,1,22,730507,-4.737962,10.452469,5.714507,NaN,NaN,4.696260,25.604897,NaN,12.863487,3.600000
2000,1,23,730508,3.666908,1.717289,5.384197,NaN,NaN,1.787861,24.470053,NaN,7.591126,15.601000
2000,1,24,730509,-3.124049,8.474748,5.350698,NaN,NaN,3.065878,24.423332,NaN,12.547891,29.004002
2000,1,25,730510,-5.232257,10.417412,5.185155,NaN,NaN,3.445947,24.122969,NaN,17.230406,0.400000
2000,1,26,730511,-5.158281,10.799100,5.640819,NaN,NaN,5.295462,25.940573,NaN,17.169868,4.800000
2000,1,27,730512,-5.156880,10.788045,5.631165,NaN,NaN,7.639874,26.779793,NaN,21.037277,0.200000
2000,1,28,730513,-3.129330,8.368496,5.239166,NaN,NaN,10.402625,27.891251,NaN,24.358538,0.000000
2000,1,29,730514,1.335586,2.560778,3.896365,NaN,NaN,2.670768,24.223541,NaN,6.175998,14.000000
2000,1,30,730515,1.592667,2.115947,3.708615,NaN,NaN,0.593462,22.986145,NaN,4.136712,12.200000
2000,1,31,730516,-1.722147,5.341784,3.619637,NaN,NaN,2.471133,24.177710,NaN,15.274955,1.600000
2000,2,1,730517,-2.452643,6.081564,3.628921,NaN,NaN,2.516797,24.715469,NaN,9.993687,7.000999
2000,2,2,730518,-4.247686,7.879297,3.631611,NaN,NaN,3.447226,25.100365,NaN,14.095134,9.400000
2000,2,3,730519,-4.207416,7.676477,3.469062,NaN,NaN,3.297354,25.416458,NaN,15.620857,1.200000
2000,2,4,730520,-4.367165,7.222449,2.855284,NaN,NaN,2.129459,24.219584,NaN,9.492306,11.800000
2000,2,5,730521,-1.364272,4.353993,2.989721,NaN,NaN,1.766764,23.327135,NaN,8.972628,18.198999
2000,2,6,730522,-4.034651,7.395572,3.360921,NaN,NaN,3.262182,24.877708,NaN,10.354961,0.400000
2000,2,7,730523,-6.737223,10.112532,3.375308,NaN,NaN,7.121140,26.415937,NaN,18.198997,0.000000
2000,2,8,730524,-8.331951,12.129550,3.797599,NaN,NaN,9.467372,26.945000,NaN,21.835360,0.000000
2000,2,9,730525,-4.006193,7.981542,3.975349,NaN,NaN,8.579760,26.795364,NaN,17.422981,7.000000
2000,2,10,730526,-6.963323,11.331001,4.367679,NaN,NaN,10.459989,27.360573,NaN,21.721806,1.000000
2000,2,11,730527,-4.281608,8.769870,4.488262,NaN,NaN,7.834424,26.560677,NaN,19.507441,0.000000
2000,2,12,730528,-2.671057,6.890182,4.219125,NaN,NaN,2.694523,23.491457,NaN,9.053190,21.000000
2000,2,13,730529,-5.418749,9.945072,4.526324,NaN,NaN,2.878172,23.848541,NaN,12.513841,0.800000
2000,2,14,730530,-3.353219,8.183548,4.830329,NaN,NaN,5.529907,24.661615,NaN,18.842525,1.200000
2000,2,15,730531,-4.814087,9.984583,5.170496,NaN,NaN,7.685833,25.685209,NaN,23.861738,3.000000
2000,2,16,730532,3.754728,0.622926,4.377654,NaN,NaN,1.046119,22.560259,NaN,2.336776,64.400002
2000,2,17,730533,-3.596398,8.075438,4.479041,NaN,NaN,4.964879,24.028437,NaN,19.682453,0.200000
2000,2,18,730534,-3.557778,8.466008,4.908230,NaN,NaN,6.927334,25.505363,NaN,22.264566,1.400000
2000,2,19,730535,0.527005,4.303976,4.830980,NaN,NaN,2.412334,24.330521,NaN,10.549755,4.000000
2000,2,20,730536,-4.652961,10.063945,5.410984,NaN,NaN,3.899140,24.566198,NaN,20.230143,9.699000
2000,2,21,730537,-3.196733,8.380124,5.183392,NaN,NaN,2.057741,23.161821,NaN,11.232341,32.715000
2000,2,22,730538,-5.701406,11.364729,5.663323,NaN,NaN,4.565603,24.376352,NaN,18.832203,3.003500
2000,2,23,730539,-1.433653,6.959401,5.525747,NaN,NaN,2.207084,24.080938,NaN,10.737325,22.181499
2000,2,24,730540,-4.993504,10.213795,5.220291,NaN,NaN,3.401493,24.365990,NaN,17.486227,0.200000
2000,2,25,730541,-2.762076,7.752215,4.990139,NaN,NaN,3.138624,25.007812,NaN,12.850145,2.200000
2000,2,26,730542,-1.468138,5.515667,4.047528,NaN,NaN,1.835280,23.906145,NaN,7.215801,0.601000
2000,2,27,730543,-6.203329,10.105490,3.902162,NaN,NaN,6.008485,25.575729,NaN,18.772911,0.200000
2000,2,28,730544,-1.540342,4.448608,2.908266,NaN,NaN,2.375139,24.643646,NaN,10.948862,7.702500
2000,2,29,730545,-5.092987,8.008957,2.915971,NaN,NaN,3.620236,24.396355,NaN,14.826688,0.298500
2000,3,1,730546,-3.392719,6.599477,3.206758,NaN,NaN,4.688671,25.325521,NaN,16.140511,6.199000
2000,3,2,730547,-4.465758,7.865478,3.399719,NaN,NaN,3.569579,24.930313,NaN,18.472939,19.396000
2000,3,3,730548,0.056831,3.650802,3.707633,NaN,NaN,1.320360,24.032501,NaN,6.804800,52.506500
2000,3,4,730549,-1.403856,5.437194,4.033338,NaN,NaN,1.502843,23.112501,NaN,8.084824,14.092501
2000,3,5,730550,-3.282716,8.023553,4.740837,NaN,NaN,4.471095,25.075834,NaN,15.693158,0.200000
2000,3,6,730551,-4.711047,9.635716,4.924669,NaN,NaN,3.159594,24.808748,NaN,16.004957,5.200000
2000,3,7,730552,-1.000472,5.949123,4.948652,NaN,NaN,1.985967,24.429010,NaN,12.794669,9.000000
2000,3,8,730553,1.822908,2.365045,4.187953,NaN,NaN,0.447228,22.930885,NaN,3.850357,22.000999
2000,3,9,730554,-4.444196,8.886589,4.442393,NaN,NaN,5.111864,25.124741,NaN,18.203959,1.000000
2000,3,10,730555,-5.059366,9.688785,4.629419,NaN,NaN,6.599409,26.006197,NaN,23.416887,0.000000
2000,3,11,730556,1.948897,2.452285,4.401183,NaN,NaN,1.828275,24.096613,NaN,3.613853,7.400000
2000,3,12,730557,-5.212938,9.555305,4.342367,NaN,NaN,2.374793,23.652498,NaN,11.081820,1.401000
2000,3,13,730558,-5.116251,10.376247,5.259996,NaN,NaN,4.452106,24.886770,NaN,17.397245,0.200000
2000,3,14,730559,-4.493861,10.076217,5.582356,NaN,NaN,5.710167,25.755104,NaN,17.375008,1.200000
2000,3,15,730560,-2.431517,8.361586,5.930068,NaN,NaN,7.218528,26.517448,NaN,20.398682,0.000000
2000,3,16,730561,-2.722398,8.808515,6.086117,NaN,NaN,4.523418,25.371353,NaN,14.114611,2.199000
2000,3,17,730562,2.204886,4.056000,6.260886,NaN,NaN,1.262066,23.657501,NaN,8.918482,2.600000
2000,3,18,730563,-3.681265,10.075447,6.394182,NaN,NaN,3.248375,24.112135,NaN,17.955259,13.401499
2000,3,19,730564,-2.893315,9.014626,6.121310,NaN,NaN,1.543539,23.431198,NaN,9.463084,11.398500
2000,3,20,730565,-1.744516,7.506257,5.761741,NaN,NaN,5.898844,25.547083,NaN,23.078390,16.306999
2000,3,21,730566,-3.378898,8.316447,4.937549,NaN,NaN,3.969589,25.130209,NaN,18.792162,1.490000
2000,3,22,730567,-3.050796,7.931665,4.880869,NaN,NaN,2.172752,23.591095,NaN,10.552158,15.200000
2000,3,23,730568,-4.712591,9.966345,5.253754,NaN,NaN,4.510773,25.288908,NaN,22.573250,10.597000
2000,3,24,730569,-2.794691,8.062620,5.267929,NaN,NaN,1.760674,24.609480,NaN,9.221029,17.000999
2000,3,25,730570,-4.209559,9.221230,5.011671,NaN,NaN,5.383211,25.639269,NaN,20.720722,0.600000
2000,3,26,730571,-2.157151,6.206459,4.049308,NaN,NaN,2.717280,24.723124,NaN,15.383629,38.903500
2000,3,27,730572,-0.667840,3.875078,3.207238,NaN,NaN,0.960164,23.266510,NaN,6.206697,89.702499
2000,3,28,730573,-5.483062,9.120624,3.637562,NaN,NaN,2.904859,23.878386,NaN,15.755475,0.400000
2000,3,29,730574,-3.353770,7.129331,3.775561,NaN,NaN,6.031476,25.498543,NaN,23.018787,4.200000
2000,3,30,730575,-2.882315,5.865543,2.983228,NaN,NaN,2.262184,24.033958,NaN,8.519393,3.501500
2000,3,31,730576,-4.361032,6.994974,2.633941,NaN,NaN,2.900599,24.322344,NaN,17.114653,0.897500
2000,4,1,730577,-3.139424,4.983709,1.844286,NaN,NaN,2.911180,24.291212,NaN,14.880460,3.713917
2000,4,2,730578,-4.298882,5.027570,0.728688,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,3,730579,-5.281795,6.365513,1.083718,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,4,730580,-0.654756,2.940605,2.285849,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,5,730581,-3.187836,5.660938,2.473101,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,6,730582,-3.632181,6.113038,2.480857,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,7,730583,-2.480929,5.079957,2.599029,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,8,730584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,9,730585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,10,730586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,11,730587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,12,730588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,13,730589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,14,730590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,15,730591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,4,16,730592,-4.423451,7.115237,2.691786,NaN,NaN,2.481849,23.983698,NaN,14.201995,72.200005
2000,4,17,730593,-4.428029,7.230946,2.802918,NaN,NaN,4.278607,24.777395,NaN,18.653688,2.000000
2000,4,18,730594,-5.826576,8.821670,2.995094,NaN,NaN,6.205453,26.321251,NaN,21.018978,0.200000
