year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.252329,0.798809,1.051138,21.834272,2.890739,0.590152,1.606258,NaN,4.821876,1.269000
2000,1,2,730487,-0.259659,1.165998,0.906339,21.119583,2.254906,0.760825,-0.207354,NaN,4.302677,0.000000
2000,1,3,730488,0.216957,0.694155,0.911112,20.934999,1.970275,0.047667,-0.146213,NaN,1.683625,0.253800
2000,1,4,730489,-0.241007,1.492306,1.251299,21.445105,1.360587,1.392496,3.913396,NaN,3.639236,11.675000
2000,1,5,730490,0.047247,1.092726,1.139973,21.934271,1.771354,1.897052,1.855312,NaN,1.767834,2.538000
2000,1,6,730491,0.089719,1.147668,1.237387,21.870729,2.350729,0.336055,1.158110,NaN,1.285522,4.568400
2000,1,7,730492,0.207667,1.276248,1.483915,21.597084,3.129646,0.266062,2.572206,NaN,1.808206,3.045600
2000,1,8,730493,-0.006731,1.461015,1.454284,22.275520,3.288948,0.868168,1.855041,NaN,2.979988,1.522800
2000,1,9,730494,-0.357125,1.715332,1.358208,21.961668,2.185656,1.602523,0.306757,NaN,5.215464,0.000000
2000,1,10,730495,-0.047146,1.313076,1.265930,21.013542,1.653469,1.049507,-0.971336,NaN,4.870620,0.000000
2000,1,11,730496,0.509177,0.644999,1.154176,20.166353,1.421708,0.784860,-1.760794,NaN,1.984032,0.000000
2000,1,12,730497,0.061451,1.245339,1.306790,19.162395,1.315562,0.874510,-1.084027,NaN,3.132038,0.000000
2000,1,13,730498,-0.241413,1.734655,1.493242,19.377604,1.505489,0.585411,0.009423,NaN,5.647026,0.000000
2000,1,14,730499,1.119371,0.140828,1.260199,20.034687,1.777312,0.114847,-0.655444,NaN,0.207212,0.000000
2000,1,15,730500,0.651203,0.549722,1.200925,20.583021,1.901219,0.348106,0.380951,NaN,0.204363,0.000000
2000,1,16,730501,1.313209,-0.307506,1.005703,21.274166,1.949167,0.400777,-0.787181,NaN,0.061077,0.000000
2000,1,17,730502,0.866985,0.261540,1.128525,21.569269,1.940073,0.982807,0.852465,NaN,0.486598,0.253800
2000,1,18,730503,0.317854,0.822953,1.140807,22.420210,1.937625,0.876368,0.741977,NaN,2.964440,0.253800
2000,1,19,730504,0.334922,0.833194,1.168117,22.662500,1.903990,1.340782,-0.822880,NaN,3.399646,0.253800
2000,1,20,730505,0.701129,0.851005,1.552135,22.079481,1.977833,0.245328,-0.789843,NaN,0.560283,0.000000
2000,1,21,730506,0.568053,1.323654,1.891707,22.382917,1.981958,0.359543,1.486729,NaN,1.641157,7.867400
2000,1,22,730507,0.107278,1.874410,1.981688,23.386564,1.884406,0.773653,2.329792,NaN,3.087826,5.076000
2000,1,23,730508,-0.282534,2.428555,2.146021,23.321669,1.894563,2.039892,2.920333,NaN,4.593703,0.000000
2000,1,24,730509,0.042203,1.994316,2.036519,23.033751,1.953969,3.171133,2.200623,NaN,7.181133,0.000000
2000,1,25,730510,0.848324,0.912394,1.760717,22.734375,1.985115,0.361188,0.358058,NaN,0.759348,3.045800
2000,1,26,730511,0.606750,1.243756,1.850506,23.316147,1.975125,0.482109,1.040369,NaN,1.318578,3.553200
2000,1,27,730512,0.221205,1.510746,1.731951,23.503021,1.859542,0.376468,1.799188,NaN,1.979156,5.076000
2000,1,28,730513,0.277405,0.859634,1.137039,23.532602,1.888240,0.423351,1.070421,NaN,1.684458,0.761400
2000,1,29,730514,-0.095524,1.170628,1.075104,23.171562,1.923437,0.706919,1.110469,NaN,3.319611,0.000000
2000,1,30,730515,0.354593,0.654244,1.008838,22.917501,1.999927,0.171000,0.223485,NaN,2.130347,2.538000
2000,1,31,730516,-0.403609,1.592394,1.188786,25.076874,1.878946,0.447438,2.281423,NaN,3.840259,26.649002
2000,2,1,730517,-0.673295,2.100405,1.427110,25.741144,1.524323,1.601885,4.576708,NaN,5.683239,9.390600
2000,2,2,730518,-0.833140,2.091368,1.258228,24.459063,1.592729,1.937746,3.105312,NaN,4.958584,0.000000
2000,2,3,730519,-1.266596,2.445705,1.179109,23.763750,1.810323,2.726633,4.125187,NaN,8.024317,0.253800
2000,2,4,730520,-1.163503,2.248730,1.085228,24.011147,1.906021,2.915667,4.281541,NaN,8.466209,0.000000
2000,2,5,730521,-0.470080,1.337034,0.866955,23.802500,1.976906,2.291453,3.018604,NaN,3.923809,1.269000
2000,2,6,730522,0.462182,0.727741,1.189924,25.339479,1.916365,0.173778,3.689812,NaN,1.392788,4.314600
2000,2,7,730523,0.226952,1.449154,1.676106,25.889894,1.690708,0.534958,5.116229,NaN,2.023573,7.106600
2000,2,8,730524,0.683358,0.906816,1.590175,25.081041,1.590427,0.341894,4.046208,NaN,0.854401,16.750000
2000,2,9,730525,-0.547922,2.099201,1.551278,23.380417,1.864417,0.521850,3.321584,NaN,3.344744,0.000000
2000,2,10,730526,-1.336603,3.186381,1.849778,22.045418,2.326563,1.841546,3.303875,NaN,5.036922,0.000000
2000,2,11,730527,-0.226930,2.219893,1.992963,21.381460,2.381740,1.086184,1.725471,NaN,4.133941,2.538000
2000,2,12,730528,-0.849449,3.038338,2.188889,22.366249,2.659385,1.591900,2.063296,NaN,5.221257,0.761400
2000,2,13,730529,-0.623571,2.806760,2.183189,21.797918,2.327688,1.665031,1.362682,NaN,8.305827,0.000000
2000,2,14,730530,-0.628092,2.977858,2.349766,21.177084,1.860625,3.494097,1.904237,NaN,10.717948,0.000000
2000,2,15,730531,-0.266576,2.738278,2.471701,20.704584,2.087938,2.745131,1.896010,NaN,3.895364,0.000000
2000,2,16,730532,-0.878170,3.505422,2.627252,20.383959,2.109552,2.671077,2.353871,NaN,10.821896,0.000000
2000,2,17,730533,-0.328325,2.803583,2.475259,20.051979,2.079333,2.731304,2.085066,NaN,11.245302,0.000000
2000,2,18,730534,-1.272455,3.056351,1.783896,19.792917,2.074594,1.807405,1.486005,NaN,9.881190,0.000000
2000,2,19,730535,-1.383824,3.199382,1.815558,19.581251,2.451740,1.859414,2.350393,NaN,9.610597,0.000000
2000,2,20,730536,-1.321925,3.270843,1.948918,19.337397,3.150250,2.531492,3.911021,NaN,9.054389,0.000000
2000,2,21,730537,-0.674455,2.445099,1.770643,19.464270,3.929708,0.595539,3.788938,NaN,3.523799,8.374600
2000,2,22,730538,-0.562344,2.298759,1.736415,24.660311,4.485448,0.941745,3.974396,NaN,5.468656,36.548199
2000,2,23,730539,-1.588244,3.153055,1.564811,22.356354,3.456312,1.678755,2.595425,NaN,9.904234,0.000000
2000,2,24,730540,-1.730190,3.309420,1.579230,21.417917,3.407844,1.483842,2.683229,NaN,5.850445,0.000000
2000,2,25,730541,0.448199,1.081619,1.529818,23.201979,3.339240,0.463498,1.691006,NaN,2.398065,8.883000
2000,2,26,730542,-0.912205,2.801050,1.888844,23.118334,3.200198,0.701569,2.391850,NaN,4.720382,0.761400
2000,2,27,730543,-0.102636,2.014546,1.911910,23.317083,3.653219,0.503765,2.443033,NaN,3.295980,5.076000
2000,2,28,730544,-0.683731,2.742671,2.058940,23.474585,3.917469,0.476894,2.703687,NaN,4.935420,8.121400
2000,2,29,730545,-0.584443,3.072639,2.488195,24.654480,4.034875,0.493802,3.079208,NaN,4.458967,8.375000
2000,3,1,730546,0.364220,2.138093,2.502313,25.036980,3.662667,0.469305,2.291167,NaN,3.861266,23.348801
2000,3,2,730547,-1.853458,4.839286,2.985828,24.035311,4.044844,1.275615,4.512000,NaN,8.586662,0.761400
2000,3,3,730548,-1.429112,4.223352,2.794240,22.313231,4.538344,0.986784,3.499896,NaN,5.512819,1.269000
2000,3,4,730549,-0.817551,3.831221,3.013671,21.445312,3.642073,4.549948,3.984187,NaN,15.063858,0.000000
2000,3,5,730550,-1.192156,3.990882,2.798726,20.703854,3.012677,3.542792,2.889459,NaN,14.580398,0.000000
2000,3,6,730551,-1.884043,4.659202,2.775159,20.205938,2.791917,2.733669,2.386998,NaN,15.338035,0.000000
2000,3,7,730552,-1.670053,4.464649,2.794597,19.799479,3.654490,2.037359,3.026771,NaN,8.128467,0.000000
2000,3,8,730553,-1.184617,3.790358,2.605741,19.484793,4.128427,1.574640,3.504146,NaN,4.938923,1.269000
2000,3,9,730554,-0.582971,2.732848,2.149877,19.405937,4.424813,0.475383,3.451792,NaN,3.878800,0.761400
2000,3,10,730555,-0.228314,2.255580,2.027267,19.453333,4.736636,0.920599,4.088542,NaN,2.512316,3.807000
2000,3,11,730556,-2.432860,4.536250,2.103390,20.823126,4.793219,2.329756,4.628958,NaN,10.847559,0.000000
2000,3,12,730557,-1.051871,2.940253,1.888382,21.438126,4.524719,0.571494,3.003000,NaN,4.646477,5.837400
2000,3,13,730558,0.729269,1.212665,1.941934,24.119896,4.477771,0.322540,3.387667,NaN,1.812633,16.750200
2000,3,14,730559,-2.712886,4.832293,2.119408,23.729584,4.290125,2.413363,4.478583,NaN,13.108229,0.000000
2000,3,15,730560,-1.798609,3.718323,1.919714,22.186354,3.736385,1.436603,2.903229,NaN,5.734536,3.553200
2000,3,16,730561,-2.038465,4.153488,2.115023,24.064896,4.179792,1.909953,4.048875,NaN,10.333784,5.076000
2000,3,17,730562,-1.710675,3.726937,2.016262,22.774584,4.215271,0.770349,3.450833,NaN,6.389816,1.522800
2000,3,18,730563,-1.678346,3.751985,2.073639,23.903854,4.609750,1.674713,4.018146,NaN,11.262527,7.360000
2000,3,19,730564,-2.553705,4.611555,2.057850,22.639168,3.922354,2.736897,3.925563,NaN,12.328407,0.000000
2000,3,20,730565,-1.522629,3.511720,1.989091,22.017708,4.160094,1.132609,3.539792,NaN,4.915197,2.791600
2000,3,21,730566,-0.673332,2.774945,2.101613,22.567812,4.859500,0.263448,4.338104,NaN,3.557511,2.030400
2000,3,22,730567,-0.416653,2.430732,2.014080,24.533438,5.116823,0.319609,3.997313,NaN,4.021553,14.467800
2000,3,23,730568,-3.121468,5.193519,2.072051,23.649168,4.252708,2.083283,4.188771,NaN,12.253122,0.000000
2000,3,24,730569,-2.663376,4.692037,2.028661,22.120626,4.418104,1.209564,3.958792,NaN,9.456141,0.000000
2000,3,25,730570,-3.329258,5.715182,2.385924,21.213438,5.098521,2.163753,5.859791,NaN,12.165703,0.000000
2000,3,26,730571,-3.105707,5.762184,2.656477,20.537085,5.319240,0.988405,5.490583,NaN,7.876822,0.000000
2000,3,27,730572,-2.510087,4.982383,2.472296,20.423853,5.793739,0.525104,5.321646,NaN,7.667280,4.061200
2000,3,28,730573,-2.366352,4.826115,2.459763,20.978437,4.762323,1.019339,2.639208,NaN,7.466763,1.269000
2000,3,29,730574,-3.301929,6.234679,2.932750,20.748228,4.452906,1.890931,4.178146,NaN,10.374156,0.000000
2000,3,30,730575,-3.259596,6.582617,3.323021,20.218332,5.399969,2.359733,6.252875,NaN,10.772606,0.000000
2000,3,31,730576,-3.429085,7.134538,3.705453,19.513542,6.902385,3.783801,9.412416,NaN,18.040308,0.253800
2000,4,1,730577,-3.859588,7.634768,3.775179,18.830000,8.059656,3.613781,10.238605,NaN,18.873863,0.000000
2000,4,2,730578,-3.701397,7.317796,3.616399,18.226562,7.781125,3.462218,9.656938,NaN,20.639034,0.000000
2000,4,3,730579,-3.659093,6.933314,3.274220,17.813749,7.844896,2.123598,8.221958,NaN,12.965847,0.000000
2000,4,4,730580,-3.119691,5.653434,2.533743,17.536146,6.013636,1.734524,4.375291,NaN,9.211665,0.000000
2000,4,5,730581,-3.208250,5.491191,2.282941,17.392187,5.380386,1.567201,4.203854,NaN,8.712130,0.761400
2000,4,6,730582,-3.997221,6.120323,2.123102,17.256563,4.880771,2.877592,4.409015,NaN,16.792030,0.000000
2000,4,7,730583,-4.317452,6.890970,2.573518,16.939896,5.300927,3.129649,5.944604,NaN,12.122645,0.000000
2000,4,8,730584,-3.758609,7.777540,4.018931,16.460833,6.595979,6.349098,10.440479,NaN,20.741310,0.000000
2000,4,9,730585,-3.951961,8.078923,4.126962,15.964271,7.615323,4.006915,10.196917,NaN,22.196907,0.000000
2000,4,10,730586,-4.221036,8.304552,4.083516,15.573021,7.851771,3.095253,9.924812,NaN,18.596487,0.000000
2000,4,11,730587,-3.571848,8.138885,4.567037,15.092396,8.754636,5.388805,11.591396,NaN,19.562490,0.000000
2000,4,12,730588,-3.560994,8.773026,5.212031,14.575104,9.102958,6.913362,12.443833,NaN,21.925106,0.000000
2000,4,13,730589,-3.653420,8.941891,5.288471,14.144688,9.213208,4.297501,10.531980,NaN,19.618740,0.507600
2000,4,14,730590,-2.511762,6.221561,3.709800,14.020000,6.782073,1.829009,4.274583,NaN,9.570404,0.507600
2000,4,15,730591,-1.437284,5.389030,3.951746,13.967500,5.467729,0.918613,3.912937,NaN,7.258927,1.522800
2000,4,16,730592,-3.288604,8.378497,5.089893,13.814896,6.111834,4.905845,7.386646,NaN,21.247488,0.000000
2000,4,17,730593,-3.969367,9.226879,5.257513,13.465625,6.294157,6.338841,8.431083,NaN,24.129721,0.000000
2000,4,18,730594,-4.367426,10.199798,5.832371,13.033958,7.482605,7.186360,10.371688,NaN,18.869526,0.000000
2000,4,19,730595,-3.317327,7.992949,4.675621,12.758334,7.473427,2.965437,7.292729,NaN,9.874860,0.000000
2000,4,20,730596,-4.478680,9.468225,4.989544,12.564583,7.560989,2.859035,8.729688,NaN,15.141384,0.000000
2000,4,21,730597,-3.017931,7.482576,4.464645,12.369583,8.117823,2.521047,8.532833,NaN,7.136925,0.253800
2000,4,22,730598,-5.596442,9.325609,3.729167,12.248959,6.979500,3.903183,6.768521,NaN,19.684704,0.000000
