year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,2,730487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,3,730488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,4,730489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,5,730490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,6,730491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,7,730492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,8,730493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,9,730494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,10,730495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,11,730496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,12,730497,0.103065,0.192027,0.295091,15.200000,-4.102604,0.297050,-13.059792,NaN,4.314624,0.000000
2000,1,13,730498,0.135405,-0.090747,0.044658,15.200000,-5.081250,0.282009,-16.235416,NaN,3.442998,0.000000
2000,1,14,730499,0.146166,-0.144851,0.001315,14.800000,-5.446146,0.275363,-19.625834,NaN,4.143383,0.000000
2000,1,15,730500,0.105898,-0.105898,0.000000,14.600000,-5.777812,0.217791,-23.422709,NaN,5.867976,0.000000
2000,1,16,730501,0.118881,-0.118880,0.000000,14.400000,-5.449271,0.816940,-11.676250,NaN,3.848103,0.000000
2000,1,17,730502,-0.040747,0.041805,0.001058,14.300000,-4.054896,1.871710,-5.960000,NaN,5.826568,0.800000
2000,1,18,730503,0.175340,-0.171365,0.003976,14.300000,-5.512187,0.294519,-19.217916,NaN,5.596289,0.000000
2000,1,19,730504,0.165467,-0.154522,0.010945,13.800000,-6.638750,0.598929,-15.355416,NaN,6.239885,0.000000
2000,1,20,730505,0.106609,-0.097248,0.009361,13.400000,-7.040208,1.028134,-12.139792,NaN,5.388823,0.000000
2000,1,21,730506,0.049077,-0.022542,0.026535,13.700000,-4.511250,2.095414,-1.319583,NaN,4.891171,0.000000
2000,1,22,730507,0.098006,-0.057095,0.040911,14.200000,-4.267812,0.371524,-9.426875,NaN,3.945415,0.000000
2000,1,23,730508,0.081888,-0.001213,0.080675,14.100000,-4.596562,1.308356,-7.115833,NaN,6.294118,0.100000
2000,1,24,730509,0.143010,-0.073392,0.069618,13.800000,-5.459479,0.692736,-13.704792,NaN,6.842692,0.100000
2000,1,25,730510,0.109274,-0.005059,0.104216,13.700000,-6.216250,0.632661,-10.903125,NaN,4.423741,0.000000
2000,1,26,730511,0.121287,0.040407,0.161694,13.800000,-4.094687,1.320574,-1.056250,NaN,3.842068,0.000000
2000,1,27,730512,0.094151,0.056209,0.150360,14.600000,-2.637292,0.684493,-3.906667,NaN,5.957566,4.400000
2000,1,28,730513,0.104017,0.021007,0.125024,14.600000,-3.391354,1.562511,-3.825833,NaN,7.086214,0.000000
2000,1,29,730514,0.070459,0.062480,0.132939,14.500000,-4.207083,1.310418,-6.874375,NaN,7.187770,0.000000
2000,1,30,730515,0.069681,0.052944,0.122624,14.400000,-4.726667,0.924629,-11.112292,NaN,7.340673,0.000000
2000,1,31,730516,0.019796,0.116791,0.136587,14.100000,-5.183854,1.626542,-6.471667,NaN,7.462495,0.000000
2000,2,1,730517,0.159740,0.019483,0.179223,14.400000,-2.234583,3.499045,1.648333,NaN,4.676601,0.000000
2000,2,2,730518,0.150102,0.027060,0.177163,15.700000,-0.838646,4.346742,2.331250,NaN,6.491773,0.000000
2000,2,3,730519,0.131554,0.008311,0.139864,15.700000,-1.992813,2.814931,-4.380000,NaN,7.630321,0.000000
2000,2,4,730520,0.050070,0.057591,0.107662,14.400000,-4.486146,2.074355,-7.291250,NaN,7.568028,0.000000
2000,2,5,730521,0.056311,0.060174,0.116485,13.600000,-5.580729,0.507063,-8.024375,NaN,7.743961,0.000000
2000,2,6,730522,0.047052,0.060717,0.107770,13.400000,-5.338438,0.709145,-5.802917,NaN,7.357010,0.000000
