year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,2,730487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,3,730488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,4,730489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,5,730490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,6,730491,0.132058,-0.088326,0.043733,NaN,-5.740000,NaN,-24.249000,NaN,NaN,NaN
2000,1,7,730492,0.128236,-0.077258,0.050979,NaN,-5.992000,0.368635,-23.254000,21.061062,0.812361,1.400000
2000,1,8,730493,0.164237,-0.107492,0.056745,NaN,-5.687000,0.403439,-21.938000,51.148250,1.972868,0.000000
2000,1,9,730494,0.126005,-0.032340,0.093665,NaN,-5.145000,0.378341,-16.274000,17.775167,0.685617,0.800000
2000,1,10,730495,0.164757,-0.100350,0.064407,NaN,-4.451000,0.405303,-21.222000,53.496583,2.063445,0.000000
2000,1,11,730496,0.205315,-0.180867,0.024448,NaN,-4.226000,0.230816,-30.896000,65.018021,2.507836,0.000000
2000,1,12,730497,0.140423,-0.029834,0.110589,NaN,-4.973000,0.236891,-29.429000,66.575438,2.567906,0.000000
2000,1,13,730498,0.111255,0.054703,0.165958,NaN,-5.419000,0.194202,-26.979000,NaN,2.229712,0.000000
2000,1,14,730499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,15,730500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,16,730501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,17,730502,0.207332,0.118753,0.326086,NaN,-6.096000,NaN,-23.632000,NaN,NaN,NaN
2000,1,18,730503,0.200226,0.322775,0.523001,NaN,-6.144000,0.220374,-19.998000,53.586375,2.066905,0.000000
2000,1,19,730504,0.141373,0.121486,0.262859,NaN,-5.474000,0.201359,-25.228000,80.706042,3.112937,0.000000
2000,1,20,730505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,21,730506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,22,730507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,23,730508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,24,730509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,25,730510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,26,730511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,27,730512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,28,730513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,29,730514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,30,730515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,31,730516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,1,730517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,2,730518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,3,730519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,4,730520,0.563173,0.657974,1.221150,NaN,-2.654000,0.326317,-12.501000,119.273625,4.600533,0.000000
2000,2,5,730521,0.585664,1.143520,1.729180,NaN,-2.733000,0.309201,-7.831000,124.368958,4.797096,0.000000
2000,2,6,730522,0.527336,0.728687,1.256020,NaN,-2.775000,0.285994,-12.403000,134.113167,5.172924,0.000000
2000,2,7,730523,0.497743,0.717296,1.215040,NaN,-2.863000,0.256042,-13.120000,117.234417,4.521905,0.000000
2000,2,8,730524,0.421510,0.631823,1.053330,NaN,-3.118000,0.252337,-15.094000,103.707750,4.000145,0.000000
