year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.195569,0.077433,0.273002,NaN,-1.528386,0.600984,-6.584167,NaN,2.661758,NaN
2000,1,2,730487,0.229762,0.117390,0.347152,NaN,-0.658437,0.433371,-0.748542,NaN,1.421261,NaN
2000,1,3,730488,0.344003,0.005514,0.349517,NaN,0.045573,1.367681,-0.496458,NaN,5.073067,NaN
2000,1,4,730489,0.336432,0.015855,0.352288,NaN,-0.033125,1.094930,-0.134583,NaN,1.741034,NaN
2000,1,5,730490,0.367841,-0.195907,0.171934,NaN,-2.682760,0.827808,-13.091667,NaN,6.678579,NaN
2000,1,6,730491,0.287741,-0.068051,0.219691,NaN,-2.675104,0.926152,-8.096666,NaN,2.522716,NaN
2000,1,7,730492,0.296275,-0.008537,0.287739,NaN,-0.611979,1.368866,-0.690833,NaN,2.366413,NaN
2000,1,8,730493,0.208796,0.046184,0.254981,NaN,-1.846250,1.333395,-4.465833,NaN,4.138313,NaN
2000,1,9,730494,0.221776,0.107380,0.329156,NaN,0.026667,1.886367,2.798125,NaN,1.279342,NaN
2000,1,10,730495,0.211487,0.120095,0.331582,NaN,0.200312,0.533649,1.663542,NaN,1.176485,NaN
2000,1,11,730496,0.252048,0.114374,0.366422,NaN,0.335156,1.645276,3.488750,NaN,1.384947,NaN
2000,1,12,730497,0.361701,-0.100759,0.260942,NaN,-0.855260,1.666475,-5.801042,NaN,6.875928,NaN
2000,1,13,730498,0.327268,-0.158322,0.168946,NaN,-4.359115,0.786443,-15.589791,NaN,3.978579,NaN
2000,1,14,730499,0.245230,-0.084909,0.160321,NaN,-6.761667,0.692866,-18.222082,NaN,7.164161,NaN
2000,1,15,730500,0.191714,0.038139,0.229853,NaN,-7.136927,0.631244,-17.220625,NaN,6.080328,NaN
2000,1,16,730501,0.366082,0.011102,0.377184,NaN,-3.564496,0.622348,-13.375626,NaN,3.850184,NaN
2000,1,17,730502,0.337299,-0.162309,0.174990,NaN,-2.777708,0.542635,-23.050001,NaN,7.474042,NaN
2000,1,18,730503,0.301178,-0.091032,0.210146,NaN,-3.626875,0.433113,-21.805208,NaN,6.121688,NaN
2000,1,19,730504,0.244169,0.078225,0.322394,NaN,-3.863594,0.648592,-17.862707,NaN,8.187710,NaN
2000,1,20,730505,0.248089,0.192278,0.440368,NaN,-2.992083,0.580051,-13.795625,NaN,4.118601,NaN
2000,1,21,730506,0.311374,-0.120731,0.190643,NaN,-3.567813,0.543856,-19.918541,NaN,7.917492,NaN
2000,1,22,730507,0.206829,-0.105193,0.101636,NaN,-4.801979,0.416210,-23.529375,NaN,8.005147,NaN
2000,1,23,730508,0.208192,-0.033626,0.174567,NaN,-5.341511,0.465444,-19.673750,NaN,6.296481,NaN
2000,1,24,730509,0.109617,0.253046,0.362664,NaN,-3.012136,1.001404,-10.071250,NaN,6.637830,NaN
2000,1,25,730510,0.311366,-0.012591,0.298775,NaN,-3.426302,0.705637,-11.847917,NaN,3.295583,NaN
2000,1,26,730511,0.348108,-0.079223,0.268885,NaN,-1.852708,0.932601,-10.566667,NaN,3.866095,NaN
2000,1,27,730512,0.306550,-0.159123,0.147427,NaN,-2.412135,0.729193,-16.928959,NaN,8.609561,NaN
2000,1,28,730513,0.394231,-0.221978,0.172253,NaN,-3.271094,0.943918,-15.192082,NaN,5.218192,NaN
2000,1,29,730514,0.235519,-0.003852,0.231667,NaN,-3.517604,1.158001,-12.158542,NaN,8.815508,NaN
2000,1,30,730515,0.248960,0.009332,0.258292,NaN,-3.502292,0.878190,-10.644375,NaN,6.704839,NaN
2000,1,31,730516,0.251980,0.098616,0.350596,NaN,-1.487188,0.448861,-3.287500,NaN,3.959558,NaN
2000,2,1,730517,0.386955,-0.090637,0.296317,NaN,-0.920938,0.890350,-5.875416,NaN,6.170585,NaN
2000,2,2,730518,0.308653,-0.118734,0.189919,NaN,-1.768802,0.878875,-14.321041,NaN,9.178176,NaN
2000,2,3,730519,0.282180,-0.155141,0.127039,NaN,-3.764688,0.678872,-20.657084,NaN,7.820614,NaN
2000,2,4,730520,0.304536,-0.119157,0.185379,NaN,-4.248750,0.728234,-18.383749,NaN,10.502623,NaN
2000,2,5,730521,0.228660,0.078092,0.306753,NaN,-3.771250,0.522806,-10.843750,NaN,4.574451,NaN
2000,2,6,730522,0.142235,0.160918,0.303153,NaN,-2.254167,1.391019,-8.672916,NaN,10.269988,NaN
2000,2,7,730523,0.314882,-0.020633,0.294249,NaN,-1.633177,1.411620,-8.183541,NaN,9.933645,NaN
2000,2,8,730524,0.273944,-0.068394,0.205550,NaN,-1.662240,1.091729,-13.845208,NaN,10.704150,NaN
2000,2,9,730525,0.246680,0.105763,0.352443,NaN,-1.493594,1.063238,-2.918125,NaN,3.022602,NaN
2000,2,10,730526,0.252518,-0.061927,0.190592,NaN,-1.221354,0.857991,-13.499167,NaN,6.680322,NaN
2000,2,11,730527,0.261259,-0.036375,0.224883,NaN,-1.212292,0.990182,-8.498542,NaN,7.583593,NaN
2000,2,12,730528,0.160663,-0.025605,0.135057,NaN,-1.418646,0.991631,-15.912292,NaN,11.632766,NaN
2000,2,13,730529,0.234642,-0.070468,0.164174,NaN,-1.642240,0.356860,-13.568749,NaN,4.763989,NaN
2000,2,14,730530,0.193817,0.063061,0.256878,NaN,-1.272708,0.548539,-5.423334,NaN,3.735056,NaN
2000,2,15,730531,0.197006,0.056316,0.253322,NaN,-0.910365,1.420379,-6.251667,NaN,11.731814,NaN
2000,2,16,730532,0.306337,-0.024673,0.281664,NaN,-0.761042,0.554070,-3.652292,NaN,5.380682,NaN
2000,2,17,730533,0.269916,-0.140613,0.129303,NaN,-0.635469,0.860152,-16.904791,NaN,12.376977,NaN
2000,2,18,730534,0.202960,-0.054841,0.148119,NaN,-0.684062,0.875283,-15.011043,NaN,7.970152,NaN
2000,2,19,730535,0.219157,-0.034928,0.184229,NaN,-0.805156,1.183124,-11.877917,NaN,12.327590,NaN
2000,2,20,730536,0.229650,-0.035186,0.194464,NaN,-0.889288,0.882817,-9.927917,NaN,9.427196,NaN
2000,2,21,730537,0.155143,0.030449,0.185592,NaN,-0.896667,0.761464,-8.715417,NaN,7.415936,NaN
2000,2,22,730538,0.267534,-0.060636,0.206898,NaN,-0.897865,1.122752,-5.822708,NaN,10.466132,NaN
2000,2,23,730539,0.185229,0.110577,0.295807,NaN,-0.668542,2.998168,5.198958,NaN,3.030838,NaN
2000,2,24,730540,0.189673,0.076204,0.265877,NaN,-0.363125,0.222977,1.026667,NaN,3.681024,2.191322
2000,2,25,730541,0.217414,0.054020,0.271433,NaN,-0.159757,1.681358,1.310417,NaN,2.783579,4.693369
2000,2,26,730542,0.227499,0.057296,0.284795,NaN,-0.045903,1.405024,2.643333,NaN,8.631571,3.274370
2000,2,27,730543,0.318125,-0.002053,0.316073,NaN,0.029167,1.818202,6.177292,NaN,6.061958,1.310636
2000,2,28,730544,0.144887,0.183218,0.328105,NaN,0.328819,2.368199,3.505833,NaN,8.995636,1.169607
