year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,2,730487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,3,730488,0.346270,-0.150499,0.195771,23.401667,-3.219000,0.245696,-22.840000,35.728605,3.192007,0.000000
2000,1,4,730489,0.302081,-0.086934,0.215147,21.423334,-3.801000,0.248071,-21.607000,41.896875,2.057724,0.000000
2000,1,5,730490,0.316379,-0.053786,0.262593,19.548334,-3.253000,0.293129,-18.608000,43.259167,2.306376,1.000000
2000,1,6,730491,0.286905,-0.039639,0.247266,17.486666,-3.065000,0.280592,-19.575000,62.694583,3.637026,0.000000
2000,1,7,730492,0.365641,0.064833,0.430473,14.476666,-2.760000,0.336661,-7.639000,22.267917,1.121148,2.000000
2000,1,8,730493,0.410172,0.014691,0.424863,14.378333,-1.523000,0.270672,-8.131000,26.388354,0.966186,0.000000
2000,1,9,730494,0.384638,0.042032,0.426670,14.840000,-1.439000,0.470469,-8.048000,61.038542,2.644740,2.000000
2000,1,10,730495,0.290745,-0.062438,0.228307,14.773334,-2.191000,0.303913,-20.865000,76.071250,3.398166,0.000000
2000,1,11,730496,0.258681,-0.090707,0.167973,13.440000,-3.777000,0.239877,-24.651000,78.353125,3.744450,0.000000
2000,1,12,730497,0.292162,-0.085242,0.206920,12.376666,-3.750000,0.304048,-22.023000,73.993750,3.279798,0.000000
2000,1,13,730498,0.291622,-0.071186,0.220436,11.868333,-4.340000,0.304627,-21.009000,79.890000,3.546828,0.000000
2000,1,14,730499,0.264196,-0.071933,0.192263,11.371667,-3.892000,0.264005,-22.645000,76.172500,3.359718,0.000000
2000,1,15,730500,0.253325,-0.103832,0.149493,11.230000,-3.930000,0.253924,-25.288000,86.609167,3.853548,0.000000
2000,1,16,730501,0.229860,-0.065225,0.164636,10.991666,-4.626000,0.233223,-24.205000,67.447292,2.887632,1.000000
2000,1,17,730502,0.270868,-0.027100,0.243768,10.593333,-3.442000,0.323107,-18.446000,72.958958,3.015126,1.000000
2000,1,18,730503,0.290564,-0.114665,0.175899,10.646667,-3.016000,0.275946,-22.159000,92.507917,4.155949,2.000000
2000,1,19,730504,0.299553,-0.143903,0.155651,10.701667,-3.775000,0.239044,-22.792000,71.953744,4.280410,0.000000
2000,1,20,730505,0.260649,-0.105142,0.155508,10.518333,-3.904000,0.276749,-21.783000,93.947391,4.808285,0.000000
2000,1,21,730506,0.276797,-0.104684,0.172113,10.330000,-3.607000,0.269637,-19.509000,67.130625,3.011454,2.000000
2000,1,22,730507,0.240975,-0.051455,0.189520,10.215000,-3.018000,0.316976,-17.169000,51.548542,2.112822,0.000000
2000,1,23,730508,0.233406,-0.015127,0.218279,10.248333,-2.886000,0.430377,-13.620000,42.062093,2.733843,1.000000
2000,1,24,730509,0.246573,0.030703,0.277276,10.190000,-2.180000,0.718860,-7.540000,69.100833,2.899278,1.000000
2000,1,25,730510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,26,730511,0.256703,-0.024959,0.231745,10.343333,-2.477000,0.715184,-10.581000,103.824091,5.779885,0.000000
2000,1,27,730512,0.252197,0.007414,0.259611,10.275001,-2.697000,0.798455,-10.152000,128.577083,5.667102,0.000000
2000,1,28,730513,0.275412,0.012398,0.287809,10.210000,-2.624000,1.243111,-7.343000,131.258958,5.755176,0.000000
2000,1,29,730514,0.301899,0.021080,0.322979,10.170000,-2.232000,2.006182,-3.671000,133.857292,5.825538,0.000000
2000,1,30,730515,0.351514,-0.013127,0.338388,10.221667,-1.786000,2.478368,-2.212000,125.152708,5.472288,0.000000
2000,1,31,730516,0.302733,-0.015117,0.287616,10.338333,-1.728000,0.453511,-8.193000,128.884167,5.713815,0.000000
2000,2,1,730517,0.290448,-0.002723,0.287724,10.318334,-1.956000,0.577480,-8.413000,64.640682,3.433834,0.000000
2000,2,2,730518,0.291188,0.030163,0.321351,10.278333,-1.854000,1.365402,-5.125000,106.829167,4.490352,0.000000
2000,2,3,730519,0.264119,0.051702,0.315821,10.343333,-1.651000,1.691040,-5.896000,150.116458,6.659514,0.000000
2000,2,4,730520,0.318075,0.005852,0.323927,10.351666,-1.899000,1.892707,-5.150000,151.245833,6.688080,0.000000
