year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.357808,-0.316561,0.041247,6.305000,-1.461552,0.214982,-23.278313,NaN,1.513746,1.000000
2000,1,2,730487,0.467433,-0.432471,0.034962,6.256667,-1.880797,0.212398,-24.443041,NaN,2.424195,0.000000
2000,1,3,730488,0.185163,-0.146115,0.039048,6.210000,-2.382208,0.220530,-23.968895,NaN,2.885956,0.000000
2000,1,4,730489,0.298631,-0.253411,0.045220,6.171667,-2.852901,0.213088,-22.779207,NaN,2.141442,0.000000
2000,1,5,730490,0.133788,-0.072999,0.060789,6.145000,-3.066411,0.249584,-20.068937,NaN,2.278350,1.000000
2000,1,6,730491,0.166076,-0.112793,0.053283,6.126667,-3.139995,0.253150,-20.341375,NaN,2.242152,1.000000
2000,1,7,730492,0.273360,-0.102394,0.170966,6.110000,-3.215609,0.273245,-9.112521,NaN,1.100124,2.000000
2000,1,8,730493,0.131413,0.023559,0.154972,6.081666,-2.693646,0.240614,-10.000604,NaN,0.989694,0.000000
2000,1,9,730494,0.070702,0.100477,0.171178,6.083333,-2.483266,0.441744,-8.671292,NaN,1.381520,2.000000
2000,1,10,730495,0.116318,-0.064038,0.052280,6.090000,-2.485162,0.328203,-20.403271,NaN,1.553446,0.000000
2000,1,11,730496,0.197107,-0.179946,0.017161,6.116667,-3.209083,0.213621,-26.154562,NaN,1.589894,0.000000
2000,1,12,730497,0.131161,-0.101814,0.029347,6.111666,-3.830349,0.272713,-23.397896,NaN,1.917955,0.000000
2000,1,13,730498,0.192805,-0.138650,0.054154,6.108334,-4.314682,0.289382,-21.599669,NaN,2.089717,0.000000
2000,1,14,730499,0.065593,0.011335,0.076928,6.098333,-4.589214,0.260569,-22.392271,NaN,2.064383,0.000000
2000,1,15,730500,0.109900,-0.068907,0.040994,6.096667,-4.690281,0.242519,-25.166040,NaN,2.163090,0.000000
2000,1,16,730501,0.217191,-0.171810,0.045381,6.113333,-5.065266,0.203037,-25.275728,NaN,2.196553,4.000000
2000,1,17,730502,0.049416,0.056020,0.105436,6.111666,-5.085625,0.312099,-18.302876,NaN,2.113047,3.000000
2000,1,18,730503,0.080875,-0.067068,0.013807,6.093334,-4.795870,0.279068,-22.153646,NaN,2.354529,0.000000
2000,1,19,730504,0.120017,-0.108142,0.011875,6.101667,-4.900817,0.225414,-23.566500,NaN,2.308253,0.000000
2000,1,20,730505,0.145725,-0.134682,0.011042,6.131667,-5.176141,0.256476,-23.685854,NaN,2.463545,0.000000
2000,1,21,730506,0.102178,-0.076317,0.025861,6.150000,-5.250146,0.242488,-20.381937,NaN,2.462124,1.000000
2000,1,22,730507,-0.023028,0.075008,0.051980,6.136667,-5.046542,0.353165,-17.129917,NaN,2.408796,1.000000
2000,1,23,730508,0.127599,-0.047008,0.080591,6.118333,-4.858073,0.477556,-14.035874,NaN,4.189713,1.000000
2000,1,24,730509,0.068499,0.064511,0.133010,6.086667,-4.509724,0.810627,-7.880396,NaN,2.964402,1.000000
2000,1,25,730510,0.284274,-0.138002,0.146272,6.050000,-4.243433,0.689553,-11.380042,NaN,5.578942,0.000000
2000,1,26,730511,0.106449,0.067210,0.173659,6.048334,-4.239213,0.608785,-12.348374,NaN,5.813511,0.000000
2000,1,27,730512,0.147283,0.025035,0.172319,6.055000,-4.360641,0.668890,-12.075500,NaN,5.643036,0.000000
2000,1,28,730513,0.320937,-0.085568,0.235369,6.068333,-4.398787,1.038668,-9.474271,NaN,6.081444,0.000000
2000,1,29,730514,0.274007,0.009000,0.283007,6.060000,-4.257974,1.724860,-5.436875,NaN,5.797638,0.000000
2000,1,30,730515,0.179392,0.093369,0.272761,6.031667,-3.945703,2.501137,-2.643812,NaN,5.564574,0.000000
2000,1,31,730516,0.198837,-0.007428,0.191410,6.001667,-3.681354,0.367924,-8.307458,NaN,5.450732,0.000000
2000,2,1,730517,0.169125,-0.004897,0.164228,6.001667,-3.656364,0.454099,-9.073771,NaN,3.523322,0.000000
2000,2,2,730518,0.127798,0.066731,0.194529,6.001667,-3.600760,1.427879,-5.353125,NaN,5.025600,0.000000
2000,2,3,730519,0.126912,0.042219,0.169131,5.983333,-3.423234,1.940838,-5.594542,NaN,6.726060,0.000000
2000,2,4,730520,0.201802,-0.002636,0.199166,5.983334,-3.433620,1.981899,-4.889333,NaN,6.792156,0.000000
2000,2,5,730521,0.153310,-0.008000,0.145311,5.978333,-3.443307,0.741704,-9.459208,NaN,7.017002,0.000000
2000,2,6,730522,0.057316,0.081779,0.139095,5.990000,-3.559979,0.764059,-10.298250,NaN,6.122268,0.000000
2000,2,7,730523,0.275921,-0.122653,0.153267,6.005000,-3.721917,0.949305,-10.563541,NaN,6.752358,0.000000
2000,2,8,730524,0.077895,0.129549,0.207444,6.003334,-3.631771,1.344143,-6.693750,NaN,2.489742,0.000000
2000,2,9,730525,0.120562,-0.047732,0.072829,6.001667,-3.683901,0.677144,-20.215521,NaN,6.004152,0.000000
2000,2,10,730526,0.058189,0.018789,0.076978,6.076666,-4.504333,0.686170,-19.776979,NaN,8.068428,0.000000
2000,2,11,730527,0.142909,-0.047999,0.094910,6.155000,-5.084531,0.900391,-17.402563,NaN,8.147358,0.000000
2000,2,12,730528,0.087646,-0.030786,0.056859,6.215000,-5.437302,0.485751,-19.784353,NaN,8.480304,0.000000
2000,2,13,730529,0.100073,-0.006334,0.093739,6.285000,-5.854932,0.606264,-17.256687,NaN,5.935356,0.000000
2000,2,14,730530,0.085630,0.067555,0.153185,6.320000,-5.861687,0.951399,-10.596667,NaN,4.456098,0.000000
2000,2,15,730531,0.127527,-0.070021,0.057506,6.318333,-5.842985,0.568923,-20.387730,NaN,9.161298,0.000000
2000,2,16,730532,0.071285,-0.024982,0.046303,6.388334,-6.340391,0.560257,-21.727064,NaN,9.469242,0.000000
