year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.866927,1.235640,2.102570,NaN,NaN,NaN,-3.710000,NaN,NaN,1.530000
2000,1,2,730487,0.848609,1.260350,2.108960,NaN,NaN,NaN,-3.700000,NaN,NaN,0.000000
2000,1,3,730488,0.994191,1.430560,2.424750,NaN,NaN,NaN,-2.417000,NaN,NaN,0.000000
2000,1,4,730489,1.991870,0.462011,2.453880,NaN,NaN,NaN,-2.303000,NaN,NaN,0.000000
2000,1,5,730490,2.505050,0.148386,2.653430,NaN,NaN,NaN,-1.535000,NaN,NaN,0.000000
2000,1,6,730491,2.751300,0.019845,2.771140,NaN,NaN,NaN,-1.060000,NaN,NaN,0.000000
2000,1,7,730492,2.745910,-0.332093,2.413820,NaN,NaN,NaN,-2.308000,NaN,NaN,0.000000
2000,1,8,730493,2.538520,-0.267503,2.271020,NaN,NaN,NaN,-2.841000,NaN,NaN,0.000000
2000,1,9,730494,1.891270,0.404913,2.296180,NaN,NaN,NaN,-2.986000,NaN,NaN,0.000000
2000,1,10,730495,1.724140,0.663980,2.388120,NaN,NaN,NaN,-3.014000,NaN,NaN,0.000000
2000,1,11,730496,2.587950,-0.537533,2.050420,NaN,NaN,NaN,-4.705000,NaN,NaN,0.000000
2000,1,12,730497,3.407260,-1.233190,2.174070,NaN,NaN,NaN,-4.541000,NaN,NaN,0.000000
2000,1,13,730498,2.821060,-0.634436,2.186620,NaN,NaN,NaN,-4.948000,NaN,NaN,0.000000
2000,1,14,730499,2.891560,-0.416932,2.474630,NaN,NaN,NaN,-4.591000,NaN,NaN,0.000000
2000,1,15,730500,2.925510,0.305309,3.230820,NaN,NaN,NaN,-2.840000,NaN,NaN,0.000000
2000,1,16,730501,1.558250,0.677293,2.235540,NaN,NaN,NaN,-6.291000,NaN,NaN,0.000000
2000,1,17,730502,1.815850,1.250990,3.066850,NaN,NaN,NaN,-4.053000,NaN,NaN,0.180000
2000,1,18,730503,5.430970,-2.121830,3.309150,NaN,NaN,NaN,-3.251000,NaN,NaN,4.380000
2000,1,19,730504,0.718012,1.445890,2.163900,NaN,NaN,NaN,-6.135000,NaN,NaN,0.090000
2000,1,20,730505,1.781360,-0.321674,1.459680,NaN,NaN,NaN,-7.733000,NaN,NaN,0.000000
2000,1,21,730506,1.758120,-0.345991,1.412130,NaN,NaN,NaN,-6.173000,NaN,NaN,0.540000
2000,1,22,730507,1.821000,-0.595782,1.225210,NaN,NaN,NaN,-4.894000,NaN,NaN,1.890000
2000,1,23,730508,1.496860,-0.647660,0.849202,NaN,NaN,NaN,-5.261000,NaN,NaN,0.360000
2000,1,24,730509,1.885980,-1.454000,0.431975,NaN,NaN,NaN,-9.801000,NaN,NaN,0.690000
2000,1,25,730510,1.752500,-1.537530,0.214971,NaN,NaN,NaN,-13.296000,NaN,NaN,0.000000
2000,1,26,730511,0.913399,-0.459038,0.454361,NaN,NaN,NaN,-8.074000,NaN,NaN,0.000000
2000,1,27,730512,1.146680,-0.473079,0.673604,NaN,NaN,NaN,-4.422000,NaN,NaN,0.000000
2000,1,28,730513,0.773511,-0.234958,0.538553,NaN,NaN,NaN,-5.574000,NaN,NaN,0.000000
2000,1,29,730514,0.749441,-0.136636,0.612805,NaN,NaN,NaN,-3.532000,NaN,NaN,3.780000
2000,1,30,730515,0.358838,0.356896,0.715733,NaN,NaN,NaN,-0.877000,NaN,NaN,47.790000
2000,1,31,730516,1.549200,-1.003990,0.545209,NaN,NaN,NaN,-1.609000,NaN,NaN,0.090000
2000,2,1,730517,0.756048,-0.223399,0.532649,NaN,NaN,NaN,0.231000,NaN,NaN,0.000000
2000,2,2,730518,0.795360,-0.335857,0.459503,NaN,NaN,NaN,-0.364000,NaN,NaN,3.300000
2000,2,3,730519,1.423270,-0.595324,0.827948,NaN,NaN,NaN,-2.745000,NaN,NaN,0.270000
2000,2,4,730520,1.881620,-0.712464,1.169150,NaN,NaN,NaN,-3.481000,NaN,NaN,0.000000
2000,2,5,730521,1.375430,0.647286,2.022710,NaN,NaN,NaN,0.029000,NaN,NaN,0.000000
2000,2,6,730522,1.563910,1.050600,2.614500,NaN,NaN,NaN,1.292000,NaN,NaN,0.000000
2000,2,7,730523,1.843110,0.478869,2.321980,NaN,NaN,NaN,-0.936000,NaN,NaN,0.690000
2000,2,8,730524,1.872080,1.029280,2.901360,NaN,NaN,NaN,0.140000,NaN,NaN,8.670000
2000,2,9,730525,1.997880,0.166721,2.164600,NaN,NaN,NaN,-3.412000,NaN,NaN,7.980000
2000,2,10,730526,1.778620,0.188837,1.967450,NaN,NaN,NaN,-4.079000,NaN,NaN,0.000000
2000,2,11,730527,1.470230,0.649087,2.119310,NaN,NaN,NaN,-2.689000,NaN,NaN,0.540000
2000,2,12,730528,1.557490,0.226522,1.784010,NaN,NaN,NaN,-3.445000,NaN,NaN,0.000000
2000,2,13,730529,0.894229,0.768097,1.662330,NaN,NaN,NaN,-3.022000,NaN,NaN,7.500000
2000,2,14,730530,1.186930,0.284569,1.471500,NaN,NaN,NaN,-2.487000,NaN,NaN,0.270000
2000,2,15,730531,0.753415,0.427714,1.181130,NaN,NaN,NaN,-2.250000,NaN,NaN,3.450000
2000,2,16,730532,0.065219,0.684423,0.749643,NaN,NaN,NaN,-3.729000,NaN,NaN,6.030000
2000,2,17,730533,1.432530,-1.102110,0.330419,NaN,NaN,NaN,-6.623000,NaN,NaN,4.680000
2000,2,18,730534,0.716759,-0.551283,0.165476,NaN,NaN,NaN,-5.467000,NaN,NaN,9.210000
2000,2,19,730535,-0.581604,0.640080,0.058476,NaN,NaN,NaN,-3.150000,NaN,NaN,12.720000
2000,2,20,730536,-0.069975,0.182925,0.112950,NaN,NaN,NaN,-4.805000,NaN,NaN,1.110000
2000,2,21,730537,1.125330,-0.986048,0.139280,NaN,NaN,NaN,-8.689000,NaN,NaN,0.090000
2000,2,22,730538,0.712220,-0.396029,0.316191,NaN,NaN,NaN,-5.751000,NaN,NaN,0.000000
2000,2,23,730539,0.461150,-0.036981,0.424169,NaN,NaN,NaN,-5.554000,NaN,NaN,0.000000
2000,2,24,730540,0.943950,-0.279787,0.664163,NaN,NaN,NaN,-3.982000,NaN,NaN,0.660000
2000,2,25,730541,1.323680,-0.183356,1.140320,NaN,NaN,NaN,-0.269000,NaN,NaN,1.770000
2000,2,26,730542,1.304940,-0.190687,1.114250,NaN,NaN,NaN,-1.693000,NaN,NaN,0.000000
2000,2,27,730543,1.678430,-0.302463,1.375970,NaN,NaN,NaN,-0.733000,NaN,NaN,0.000000
2000,2,28,730544,3.033490,-1.374980,1.658510,NaN,NaN,NaN,0.157000,NaN,NaN,0.000000
2000,2,29,730545,2.516480,-0.885716,1.630770,NaN,NaN,NaN,-0.881000,NaN,NaN,0.000000
2000,3,1,730546,1.194290,0.458221,1.652520,NaN,NaN,NaN,-1.881000,NaN,NaN,2.190000
2000,3,2,730547,1.114730,0.074821,1.189550,NaN,NaN,NaN,-5.491000,NaN,NaN,0.270000
2000,3,3,730548,1.233260,0.489803,1.723060,NaN,NaN,NaN,-2.635000,NaN,NaN,0.000000
2000,3,4,730549,1.922190,-0.418984,1.503200,NaN,NaN,NaN,-3.567000,NaN,NaN,3.120000
2000,3,5,730550,0.946111,0.006414,0.952525,NaN,NaN,NaN,-6.876000,NaN,NaN,0.000000
2000,3,6,730551,1.397530,0.321233,1.718760,NaN,NaN,NaN,-2.152000,NaN,NaN,0.000000
2000,3,7,730552,1.504370,0.347615,1.851990,NaN,NaN,NaN,-0.993000,NaN,NaN,0.000000
2000,3,8,730553,1.015740,0.683005,1.698740,NaN,NaN,NaN,-1.506000,NaN,NaN,8.790000
2000,3,9,730554,1.532420,0.823577,2.355990,NaN,NaN,NaN,2.119000,NaN,NaN,13.920000
2000,3,10,730555,-0.546381,2.450640,1.904250,NaN,NaN,NaN,0.645000,NaN,NaN,4.740000
2000,3,11,730556,0.573099,1.424120,1.997220,NaN,NaN,NaN,1.884000,NaN,NaN,0.000000
2000,3,12,730557,0.578121,0.849908,1.428030,NaN,NaN,NaN,0.133000,NaN,NaN,0.000000
2000,3,13,730558,0.338885,0.787831,1.126720,NaN,NaN,NaN,0.184000,NaN,NaN,0.000000
2000,3,14,730559,-0.299387,1.002010,0.702623,NaN,NaN,NaN,-1.136000,NaN,NaN,4.680000
2000,3,15,730560,-0.270633,0.591988,0.321355,NaN,NaN,NaN,-3.919000,NaN,NaN,4.260000
2000,3,16,730561,0.213933,-0.092240,0.121692,NaN,NaN,NaN,-4.217000,NaN,NaN,14.310000
2000,3,17,730562,-0.306178,0.349174,0.042996,NaN,NaN,NaN,-2.378000,NaN,NaN,5.100000
2000,3,18,730563,-0.433015,0.506029,0.073015,NaN,NaN,NaN,-2.349000,NaN,NaN,2.280000
2000,3,19,730564,-0.385885,0.522919,0.137034,NaN,NaN,NaN,-2.944000,NaN,NaN,0.090000
2000,3,20,730565,-0.055243,0.269420,0.214177,NaN,NaN,NaN,-3.422000,NaN,NaN,0.000000
2000,3,21,730566,-0.255288,0.657653,0.402365,NaN,NaN,NaN,-0.994000,NaN,NaN,0.000000
2000,3,22,730567,-0.046302,0.681362,0.635059,NaN,NaN,NaN,0.862000,NaN,NaN,0.000000
