year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.331730,-0.180378,1.151360,43.038000,1.421000,0.084846,0.581000,12.903542,0.510624,0.710000
2000,1,2,730487,1.365110,-0.191847,1.173260,43.103000,1.384000,0.186530,0.862000,52.671458,2.408292,0.000000
2000,1,3,730488,1.378320,-0.128711,1.249610,43.089000,1.357000,0.417660,1.780000,42.143750,1.816956,0.000000
2000,1,4,730489,1.305110,0.035170,1.340280,43.581000,1.319000,0.328759,2.843000,11.925833,0.491256,6.690000
2000,1,5,730490,1.189740,0.128799,1.318540,44.080000,1.489000,1.411681,2.625000,90.961458,4.415778,0.000000
2000,1,6,730491,1.207310,-0.041474,1.165840,43.970000,1.134000,0.327194,1.265000,42.044792,1.918386,0.000000
2000,1,7,730492,1.581570,-0.227511,1.354050,43.919000,2.140000,0.350642,3.405000,18.792708,0.829764,0.280000
2000,1,8,730493,1.330120,0.103140,1.433260,43.852000,2.188000,1.280603,3.172000,47.227292,2.101986,0.140000
2000,1,9,730494,1.379190,0.092040,1.471230,43.878000,2.676000,0.362491,2.527000,21.415000,0.924300,1.140000
2000,1,10,730495,1.412760,-0.112141,1.300620,43.877000,2.023000,0.801171,-0.203000,61.500208,2.860596,0.000000
2000,1,11,730496,1.149750,0.095923,1.245670,43.796000,0.959000,0.444947,-1.602000,103.834375,4.857246,0.000000
2000,1,12,730497,1.131230,0.113247,1.244480,43.727000,0.576000,0.377220,-2.060000,40.673333,1.659474,0.000000
2000,1,13,730498,0.904197,0.073702,0.977899,43.666000,0.283000,0.355351,-4.789000,69.752500,3.021606,0.000000
2000,1,14,730499,1.407740,-0.131419,1.276320,43.612000,0.229000,0.466084,-1.437000,53.346667,2.275992,0.000000
2000,1,15,730500,1.210960,0.084843,1.295800,43.563000,0.288000,0.572150,-1.075000,28.148958,1.226610,0.000000
2000,1,16,730501,1.148270,0.077494,1.225770,43.519000,0.310000,0.210945,-1.579000,35.381250,1.553778,0.000000
2000,1,17,730502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,18,730503,0.975444,0.532555,1.508000,44.183000,1.919000,0.861217,2.493000,32.982917,1.440684,5.430000
2000,1,19,730504,0.929801,0.171476,1.101280,44.287000,0.855000,0.956654,-1.278000,112.598333,5.502456,0.000000
2000,1,20,730505,1.357740,-0.250171,1.107570,44.140000,0.463000,0.083368,-1.161000,11.671042,0.492714,0.000000
2000,1,21,730506,1.123390,0.219065,1.342450,44.874000,0.603000,1.167598,0.167000,35.679583,1.538208,13.430000
2000,1,22,730507,0.995945,0.377267,1.373210,46.167000,0.690000,0.105323,-0.926000,17.447917,0.751122,9.290000
2000,1,23,730508,0.851409,0.164698,1.016110,45.888000,0.777000,0.131886,-5.720000,61.469375,2.225109,0.140000
2000,1,24,730509,0.577967,0.235591,0.813557,45.236000,0.481000,0.198926,-8.635000,92.560625,3.510708,0.000000
2000,1,25,730510,0.619702,0.236385,0.856087,44.835000,0.269000,0.422771,-8.338000,135.232917,4.837576,0.000000
2000,1,26,730511,1.052660,-0.063385,0.989277,44.561000,0.158000,0.402708,-6.324000,84.343958,3.730644,0.140000
2000,1,27,730512,1.353240,-0.168205,1.185040,44.372000,0.167000,0.296750,-2.746000,34.125625,1.460088,0.000000
2000,1,28,730513,1.129550,-0.163959,0.965589,44.207000,0.151000,1.180163,-3.183000,95.808542,4.621428,0.000000
2000,1,29,730514,0.922878,0.311299,1.234180,44.752000,0.165000,0.512048,2.879000,8.164167,0.300600,16.270000
2000,1,30,730515,1.017700,0.256143,1.273840,47.337000,0.272000,1.417610,4.521000,88.616042,4.181634,15.710000
2000,1,31,730516,1.179590,0.274057,1.453640,46.812000,2.256000,0.914005,6.592000,24.462500,1.041786,11.700000
2000,2,1,730517,1.510510,0.063527,1.574040,46.428000,3.222000,1.184581,5.608000,70.843333,3.263310,0.000000
2000,2,2,730518,1.382190,0.287827,1.670020,45.595000,3.125000,0.962796,4.496000,21.327083,0.904122,1.140000
2000,2,3,730519,0.996231,0.501067,1.497300,45.709000,2.482000,1.172090,2.635000,76.469167,3.625488,5.270000
2000,2,4,730520,1.072120,0.399272,1.471390,45.315000,2.282000,0.443355,2.610000,46.205625,2.052018,2.150000
2000,2,5,730521,1.275360,0.513497,1.788850,45.124000,3.253000,1.616305,6.105000,127.463333,6.046506,0.140000
2000,2,6,730522,1.386030,0.486439,1.872470,44.760000,3.540000,3.345565,7.249000,143.062083,6.939559,0.000000
2000,2,7,730523,1.588430,0.129145,1.717570,44.679000,3.879000,1.827617,5.984000,46.680208,2.160432,2.270000
2000,2,8,730524,1.538290,0.205188,1.743480,44.822000,4.023000,1.652177,6.563000,47.846250,2.171070,5.860000
2000,2,9,730525,1.318190,0.010708,1.328900,45.224000,3.301000,1.407440,2.329000,47.023750,2.163564,1.130000
2000,2,10,730526,1.295100,0.149189,1.444290,44.924000,2.904000,2.090958,3.929000,149.051875,7.513164,2.000000
2000,2,11,730527,1.129180,0.139583,1.268760,45.087000,2.655000,1.569765,2.176000,148.373750,7.401438,1.570000
2000,2,12,730528,1.470940,-0.341794,1.129150,44.737000,1.488000,1.203630,0.405000,165.192500,8.376246,0.280000
2000,2,13,730529,1.009920,0.221116,1.231040,45.514000,1.534000,0.546940,1.267000,49.057083,2.334744,11.700000
2000,2,14,730530,1.180040,0.074700,1.254740,45.605000,1.229000,1.470045,1.089000,99.540625,4.827510,0.570000
2000,2,15,730531,1.236550,0.275156,1.511700,45.867000,2.003000,0.245947,3.438000,18.292917,0.767448,13.130000
2000,2,16,730532,1.238620,0.046270,1.284890,46.537000,2.128000,0.665469,0.534000,81.662708,3.986532,5.270000
2000,2,17,730533,1.176470,-0.082925,1.093550,46.287000,1.261000,0.147908,-1.889000,67.705000,3.075120,6.730000
