year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.659891,0.189984,0.849875,25.570000,1.136000,0.353049,-0.369000,21.372500,0.686430,NaN
2000,1,2,730487,0.528909,0.436356,0.965265,26.360000,1.447000,0.395185,1.001000,42.342917,2.508066,NaN
2000,1,3,730488,0.290171,0.746414,1.036580,27.660000,1.682000,0.389851,1.774000,36.439375,2.013606,NaN
2000,1,4,730489,0.664282,0.464594,1.128880,27.246000,2.483000,0.461654,2.891000,14.995000,0.791586,NaN
2000,1,5,730490,0.295113,0.773583,1.068700,27.082000,2.717000,0.770873,2.464000,65.743542,4.305780,6.295013
2000,1,6,730491,0.282215,0.713964,0.996179,26.276000,1.847000,0.355443,1.917000,77.228333,5.068789,3.313444
2000,1,7,730492,0.205396,0.955655,1.161050,26.200000,2.921000,0.401720,3.598000,45.205833,2.958804,NaN
2000,1,8,730493,0.092606,1.033710,1.126320,26.824000,2.615000,0.379433,2.795000,42.061042,2.456334,NaN
2000,1,9,730494,0.691685,0.497956,1.189640,26.825000,3.181000,0.421673,3.038000,16.141667,0.885042,NaN
2000,1,10,730495,0.619026,0.325159,0.944186,25.227000,2.652000,0.369957,0.039000,40.650417,2.256390,1.838792
2000,1,11,730496,0.400875,0.442376,0.843251,25.490000,1.575000,0.323462,-1.487000,79.905625,4.895118,0.343181
2000,1,12,730497,0.696300,0.104973,0.801273,24.573000,0.728000,0.313375,-2.359000,85.118125,5.564394,0.000000
2000,1,13,730498,0.778480,-0.200915,0.577565,23.711000,0.181000,0.296242,-5.229000,83.450000,5.562486,0.000000
2000,1,14,730499,0.701784,0.027603,0.729387,23.512000,-0.208000,0.328622,-2.981000,59.317917,3.508110,0.000000
2000,1,15,730500,1.165310,-0.393963,0.771350,22.977000,-0.018000,0.336962,-2.055000,20.533750,1.129464,0.100000
2000,1,16,730501,0.603778,0.154098,0.757876,22.413000,-0.026000,0.337245,-1.991000,40.472292,2.242980,2.200000
2000,1,17,730502,0.484312,0.671756,1.156070,25.546000,0.604000,0.406380,2.836000,12.150625,0.636282,10.700000
2000,1,18,730503,0.704572,0.318257,1.022830,31.493000,1.833000,0.717493,1.240000,21.280000,1.323216,12.700000
2000,1,19,730504,0.685595,0.067735,0.753330,29.472000,0.675000,0.333099,-2.094000,51.208333,3.074940,0.000000
2000,1,20,730505,0.898976,-0.047405,0.851571,27.477000,0.357000,0.384222,-1.330000,16.357292,0.859770,6.500000
2000,1,21,730506,0.914668,-0.110804,0.803864,30.754000,0.444000,0.535569,-2.318000,41.220208,2.462472,6.500000
2000,1,22,730507,0.569113,0.251580,0.820693,28.318000,0.240000,0.325428,-2.502000,42.311042,2.288718,3.300000
