year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.613380,0.312871,1.926250,30.806000,3.011000,0.044730,2.394000,4.925000,0.256558,2.600000
2000,1,2,730487,1.780120,0.338145,2.118260,30.665000,3.260000,0.109805,3.588000,7.922917,0.400557,0.400000
2000,1,3,730488,2.090640,0.299660,2.390300,30.382000,3.817000,0.131731,5.248000,5.562500,0.275822,1.200000
2000,1,4,730489,1.460200,0.674026,2.134230,30.565000,3.958000,0.490094,3.698000,47.239583,2.113297,1.000000
2000,1,5,730490,1.635330,0.479098,2.114430,31.233000,3.800000,0.552748,3.311000,53.422917,2.428602,5.000000
2000,1,6,730491,2.160200,0.089042,2.249240,30.962000,3.612000,0.453002,3.714000,32.891667,1.530158,1.600000
2000,1,7,730492,2.012480,0.261023,2.273510,30.895000,3.772000,0.396230,3.521000,40.612500,1.918846,0.000000
2000,1,8,730493,2.454550,0.012398,2.466940,30.559000,3.964000,0.427558,4.298000,11.016667,0.513827,0.000000
2000,1,9,730494,1.282370,0.934271,2.216640,30.714000,3.729000,0.296070,2.822000,36.333333,1.667068,0.000000
2000,1,10,730495,1.491930,0.533827,2.025750,30.619000,3.254000,0.255026,1.676000,60.191667,2.747158,0.000000
2000,1,11,730496,1.992210,0.056234,2.048450,30.521000,3.186000,0.153798,1.892000,7.908333,0.403837,1.200000
2000,1,12,730497,2.421360,-0.349185,2.072170,30.436000,3.510000,0.829861,2.450000,18.733333,0.873760,0.200000
2000,1,13,730498,1.676010,0.005063,1.681070,30.638000,3.456000,0.698080,0.425000,11.568750,0.585095,0.000000
2000,1,14,730499,1.749080,-0.288657,1.460430,30.559000,3.175000,0.624369,-0.634000,12.879167,0.628014,0.000000
2000,1,15,730500,1.356600,0.126990,1.483590,30.309000,2.955000,0.502964,0.056000,54.693750,2.489847,0.000000
2000,1,16,730501,1.438220,0.528614,1.966830,29.976000,3.006000,0.423972,4.036000,25.435417,1.192350,0.000000
2000,1,17,730502,0.505370,1.827620,2.332990,29.709000,3.834000,1.259359,6.644000,69.789583,3.086988,0.200000
2000,1,18,730503,1.258740,0.649036,1.907780,30.371000,3.869000,2.570543,3.948000,75.137500,3.439752,4.000000
2000,1,19,730504,1.264620,0.252444,1.517070,30.200000,3.176000,1.806642,1.173000,76.054167,3.429943,0.000000
2000,1,20,730505,0.987245,0.866460,1.853700,29.929000,2.918000,0.809963,3.608000,32.083333,1.383428,0.000000
2000,1,21,730506,2.112810,-0.880477,1.232330,30.176000,2.964000,1.622006,-1.624000,87.514583,3.962783,0.000000
2000,1,22,730507,1.599100,-0.539659,1.059440,29.997000,2.562000,1.075751,-3.461000,47.629167,2.005562,0.000000
2000,1,23,730508,1.753120,-0.731235,1.021880,29.676000,2.202000,0.771163,-4.133000,51.662500,2.198552,0.000000
2000,1,24,730509,1.702020,-0.667372,1.034640,29.118000,1.813000,0.884979,-4.347000,84.452083,3.765947,0.000000
2000,1,25,730510,1.409630,0.213025,1.622650,29.753000,1.600000,0.212258,0.337000,34.343750,1.483171,0.600000
2000,1,26,730511,1.341680,0.551995,1.893680,30.000000,1.678000,0.228910,2.341000,20.704167,0.924794,0.000000
2000,1,27,730512,1.527400,0.548135,2.075530,29.582000,2.450000,0.519405,3.731000,30.231250,1.351468,0.800000
2000,1,28,730513,2.196520,-0.216250,1.980270,30.101000,2.993000,0.308793,3.190000,15.714583,0.683586,8.000000
2000,1,29,730514,2.146620,0.028444,2.175070,30.870000,3.273000,0.857424,4.404000,11.533333,0.499310,8.000000
2000,1,30,730515,1.144520,0.812628,1.957150,31.108000,3.240000,2.268129,3.032000,96.118750,4.548671,0.000000
2000,1,31,730516,1.482310,0.632066,2.114370,31.915000,2.985000,1.211823,3.992000,68.095833,3.175850,10.000000
2000,2,1,730517,1.838740,0.418190,2.256930,31.741000,3.266000,0.228040,4.950000,12.212500,0.556359,6.400000
2000,2,2,730518,1.447380,0.637699,2.085080,31.753000,3.651000,0.824687,3.905000,61.343750,2.769248,1.200000
2000,2,3,730519,1.407710,0.414444,1.822150,31.673000,3.282000,1.510964,2.220000,114.731250,5.326350,0.000000
2000,2,4,730520,1.820800,0.354966,2.175770,31.357000,3.008000,0.209278,4.494000,15.706250,0.681483,1.000000
2000,2,5,730521,2.187620,0.335963,2.523580,31.157000,4.046000,0.133012,6.696000,23.731250,1.055793,0.000000
2000,2,6,730522,1.680250,0.636488,2.316740,30.977000,4.345000,0.439033,5.470000,32.497917,1.437229,0.400000
2000,2,7,730523,2.033860,0.286284,2.320140,30.918000,4.585000,0.840923,5.453000,66.497917,3.028943,1.200000
2000,2,8,730524,1.947900,0.287862,2.235760,31.175000,4.544000,0.535190,4.914000,30.247917,1.346845,7.000000
2000,2,9,730525,1.942190,0.086461,2.028650,31.904000,4.313000,1.016439,3.557000,26.397917,1.217773,4.800000
2000,2,10,730526,1.883940,0.258430,2.142370,31.692000,3.958000,0.798781,4.165000,58.860417,2.708713,2.600000
2000,2,11,730527,1.643330,0.508489,2.151820,31.645000,3.928000,0.913941,4.106000,57.083333,2.530176,0.000000
2000,2,12,730528,1.967780,0.069908,2.037680,31.442000,4.070000,0.783700,3.285000,68.679167,3.141116,4.400000
2000,2,13,730529,0.899753,0.926005,1.825760,32.187000,3.724000,0.713239,1.758000,112.787500,5.174762,3.800000
2000,2,14,730530,0.953222,0.856095,1.809320,31.918000,3.258000,1.526129,1.444000,143.239583,6.699099,0.000000
2000,2,15,730531,1.110550,1.016820,2.127360,31.879000,3.228000,0.700536,3.152000,87.489583,4.065480,1.800000
2000,2,16,730532,1.207650,0.665224,1.872870,31.945000,3.358000,0.074904,1.396000,30.420833,1.382722,4.200000
2000,2,17,730533,1.136430,0.647547,1.783980,32.133000,3.266000,0.753465,0.723000,132.758333,6.194582,2.200000
2000,2,18,730534,1.354250,0.285914,1.640160,31.977000,2.705000,0.232074,-0.091000,44.947917,2.006520,1.600000
2000,2,19,730535,1.422670,0.224601,1.647270,32.451000,2.567000,0.052346,0.111000,16.683333,0.716719,6.800000
2000,2,20,730536,1.226910,0.341730,1.568640,32.041000,2.439000,0.507356,-0.301000,103.993750,5.274097,0.200000
2000,2,21,730537,1.107710,0.491692,1.599400,31.831000,2.145000,1.062797,0.040000,173.235417,8.156658,0.000000
2000,2,22,730538,1.338350,0.114228,1.452570,31.773000,1.855000,0.429319,-0.948000,96.079167,4.301959,0.000000
2000,2,23,730539,1.098230,0.523997,1.622230,31.742000,1.880000,0.364868,0.225000,62.922917,2.759906,1.000000
2000,2,24,730540,1.539910,0.452907,1.992820,31.931000,2.310000,0.527314,2.564000,64.097917,2.827418,4.800000
2000,2,25,730541,0.948200,1.175880,2.124090,31.664000,2.540000,1.033665,3.352000,117.635417,5.408816,0.200000
2000,2,26,730542,0.998098,1.230690,2.228790,31.451000,2.834000,0.601697,3.737000,77.439583,3.458066,0.000000
2000,2,27,730543,1.506230,0.767562,2.273790,31.253000,2.846000,1.420300,3.624000,160.112500,7.404549,0.000000
2000,2,28,730544,2.384850,0.475415,2.860260,31.035000,3.451000,1.735679,6.544000,37.100000,1.562532,0.200000
2000,2,29,730545,1.964900,0.451995,2.416900,30.847000,3.555000,1.209245,4.283000,91.089362,4.023814,0.698000
2000,3,1,730546,1.238380,1.085700,2.324080,31.323000,3.715000,1.024142,3.866000,138.677083,6.299355,5.400000
2000,3,2,730547,1.081970,0.989260,2.071230,31.155000,3.492000,1.604860,2.481000,144.258333,6.602606,0.400000
2000,3,3,730548,0.934200,1.353320,2.287520,31.877000,3.627000,1.460125,3.832000,153.100000,6.934857,9.600000
2000,3,4,730549,0.808495,0.961975,1.770470,31.974000,3.157000,1.941822,0.744000,207.422917,9.370427,0.200000
2000,3,5,730550,0.645936,1.101420,1.747360,31.754000,2.575000,1.997847,0.700000,193.529167,8.774988,0.000000
2000,3,6,730551,1.795090,0.503300,2.298380,31.387000,2.753000,0.362180,4.215000,35.545833,1.495269,2.600000
2000,3,7,730552,2.043230,0.464136,2.507360,32.259000,3.863000,0.122096,5.544000,28.018750,1.128321,13.600000
