year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.196011,-0.007746,0.188265,3.461708,-0.903354,0.191059,-11.630271,NaN,0.131434,NaN
2000,1,2,730487,-0.167141,0.394628,0.227487,3.339000,-0.942083,0.170100,-8.078021,NaN,0.136987,NaN
2000,1,3,730488,0.070054,0.189312,0.259366,3.268937,-0.882437,0.135393,-5.178271,NaN,0.117589,NaN
2000,1,4,730489,0.209738,0.016392,0.226131,3.262000,-0.789396,0.186410,-8.343521,NaN,0.129629,NaN
2000,1,5,730490,0.292657,-0.145168,0.147490,3.284479,-0.730729,0.187324,-17.005541,NaN,0.110056,NaN
2000,1,6,730491,0.217786,0.009839,0.227625,3.276375,-0.784146,0.145340,-11.654667,NaN,0.126869,NaN
2000,1,7,730492,0.380360,0.001074,0.381434,3.210583,-0.860646,0.012091,-0.661271,NaN,0.113175,NaN
2000,1,8,730493,0.379121,-0.004140,0.374982,3.196125,-0.763833,0.110804,-0.608542,NaN,0.078637,NaN
2000,1,9,730494,0.433644,-0.067106,0.366538,3.247437,-0.639562,1.081750,-0.453208,NaN,0.055942,NaN
2000,1,10,730495,0.301682,-0.000833,0.300849,3.351792,-0.569104,0.692121,-5.524312,NaN,0.073256,NaN
2000,1,11,730496,0.309750,0.004567,0.314317,3.460583,-0.556917,0.140150,-4.592229,NaN,0.087570,NaN
2000,1,12,730497,0.308822,0.013628,0.322450,3.500875,-0.592438,0.111071,-4.358646,NaN,0.107222,NaN
2000,1,13,730498,0.239891,0.028721,0.268613,3.521625,-0.590542,0.131781,-7.454334,NaN,0.240746,NaN
2000,1,14,730499,0.369851,-0.209325,0.160526,3.566000,-0.563521,0.181102,-15.527771,NaN,0.126868,NaN
2000,1,15,730500,0.226933,-0.064162,0.162771,3.573958,-0.623021,0.199985,-14.443521,NaN,0.236558,NaN
2000,1,16,730501,0.248546,-0.035721,0.212824,3.510271,-0.719438,0.122896,-9.582541,NaN,0.128414,NaN
2000,1,17,730502,0.241509,-0.018015,0.223495,3.411354,-0.813688,0.152617,-8.452250,NaN,0.176573,NaN
2000,1,18,730503,0.483131,-0.339594,0.143537,3.338104,-0.815813,0.180095,-16.864792,NaN,0.363748,NaN
2000,1,19,730504,0.998959,-0.932745,0.066214,3.284583,-0.842438,0.155386,-25.165022,NaN,0.237737,NaN
2000,1,20,730505,0.928969,-0.860584,0.068385,3.202521,-0.946646,0.138921,-26.203478,NaN,0.231503,NaN
2000,1,21,730506,0.051917,0.132834,0.184751,3.064875,-1.095979,0.207341,-15.104771,NaN,0.253805,NaN
2000,1,22,730507,0.832032,-0.735775,0.096257,2.916875,-1.215854,0.158622,-21.995375,NaN,0.450720,NaN
2000,1,23,730508,0.664428,-0.571103,0.093324,2.774354,-1.327229,0.166702,-22.022980,NaN,0.384016,NaN
2000,1,24,730509,0.795668,-0.737326,0.058343,2.639396,-1.449375,0.145064,-25.452166,NaN,0.254657,NaN
2000,1,25,730510,0.128077,0.145829,0.273906,2.502396,-1.588042,0.138260,-7.764271,NaN,0.331592,NaN
2000,1,26,730511,0.212886,0.070867,0.283753,2.392625,-1.635812,0.303051,-3.910958,NaN,0.511841,NaN
2000,1,27,730512,0.192375,-0.012771,0.179605,2.331563,-1.572333,0.385838,-9.743292,NaN,0.556711,NaN
2000,1,28,730513,0.303827,-0.201812,0.102015,2.303062,-1.518188,0.211961,-17.871542,NaN,0.681453,NaN
2000,1,29,730514,0.266462,-0.163968,0.102493,2.264708,-1.570708,0.177580,-18.668083,NaN,0.376096,NaN
