year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,2,730487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,3,730488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,4,730489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,5,730490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,6,730491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,7,730492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,8,730493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,9,730494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,10,730495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,11,730496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,12,730497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,13,730498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,14,730499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,15,730500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,16,730501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,17,730502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,18,730503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,19,730504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,20,730505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,21,730506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,22,730507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,23,730508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,24,730509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,25,730510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,26,730511,-0.011216,0.011216,0.000000,NaN,-2.072000,1.541026,-5.358000,NaN,8.590698,NaN
2000,1,27,730512,0.267685,-0.136977,0.130708,NaN,-2.103000,4.372829,-0.274000,NaN,8.979424,NaN
2000,1,28,730513,0.047784,0.080042,0.127826,NaN,-2.103000,1.885672,-0.374000,NaN,7.073364,NaN
2000,1,29,730514,0.196804,-0.067648,0.129157,NaN,-2.082000,0.560126,-0.225000,NaN,3.329727,NaN
2000,1,30,730515,0.264474,-0.082070,0.182404,NaN,-2.060000,2.700255,4.137000,NaN,8.725747,NaN
2000,1,31,730516,0.354833,-0.131731,0.223102,NaN,-2.040000,4.802418,7.184000,NaN,9.226167,NaN
2000,2,1,730517,0.482107,-0.276653,0.205455,NaN,-2.024000,3.599295,5.957000,NaN,9.472051,NaN
2000,2,2,730518,0.396281,-0.192947,0.203335,NaN,-2.000000,3.526552,5.837000,NaN,8.946691,NaN
2000,2,3,730519,0.277970,-0.120381,0.157589,NaN,-2.008000,0.951669,2.156000,NaN,2.771433,NaN
2000,2,4,730520,0.131236,0.000558,0.131794,NaN,-1.956000,1.658287,-1.192000,NaN,7.461386,NaN
2000,2,5,730521,0.418252,-0.201935,0.216318,NaN,-1.913000,5.530713,3.860000,NaN,10.145034,NaN
2000,2,6,730522,0.388715,-0.120961,0.267754,NaN,-1.884000,4.281141,5.807000,NaN,10.030532,NaN
2000,2,7,730523,0.309261,-0.047372,0.261889,NaN,-1.865000,3.230086,4.219000,NaN,10.266204,NaN
2000,2,8,730524,0.282337,-0.046043,0.236295,NaN,-1.845000,1.068209,1.746000,NaN,7.301065,NaN
2000,2,9,730525,0.370916,-0.112485,0.258431,NaN,-1.842000,0.030342,2.048000,NaN,2.597521,NaN
