year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.677147,1.968710,2.645850,NaN,5.260000,3.788779,3.952000,117.373787,5.508738,0.000000
2000,1,2,730487,0.677728,2.050170,2.727900,NaN,5.374000,3.479632,5.067000,104.816578,5.100894,0.000000
2000,1,3,730488,1.129780,1.543070,2.672850,NaN,4.929000,2.780827,4.346000,106.597826,4.630356,0.000000
2000,1,4,730489,1.690480,1.182520,2.873000,NaN,5.817000,2.705324,7.115000,NaN,1.813536,0.000000
2000,1,5,730490,1.725120,1.468490,3.193610,NaN,8.786000,2.990701,11.573000,NaN,1.316776,0.000000
2000,1,6,730491,1.406350,1.597320,3.003670,NaN,8.696000,NaN,8.456000,NaN,NaN,0.000000
2000,1,7,730492,0.740770,2.311393,3.052163,NaN,9.238000,NaN,9.700000,NaN,NaN,0.000000
2000,1,8,730493,1.532040,1.748830,3.280870,NaN,8.712000,NaN,7.579000,NaN,NaN,1.000000
2000,1,9,730494,1.388520,1.982740,3.371250,NaN,8.795000,NaN,7.758000,55.087935,3.497104,0.000000
2000,1,10,730495,-0.040139,3.493300,3.453160,NaN,8.911000,2.959145,8.194000,158.430704,6.685761,0.000000
2000,1,11,730496,-0.033218,3.373510,3.340290,NaN,7.629000,3.836541,6.290000,151.697585,6.207138,0.000000
2000,1,12,730497,-0.094882,3.402580,3.307700,NaN,6.697000,4.055096,5.415000,153.181728,6.375708,0.000000
2000,1,13,730498,0.127885,3.069180,3.197070,NaN,6.032000,3.020497,3.952000,130.165858,5.182182,0.000000
2000,1,14,730499,1.369110,1.827180,3.196290,NaN,6.444000,1.860929,4.798000,0.000000,0.887706,10.000000
2000,1,15,730500,-0.359305,3.656470,3.297160,NaN,7.528000,2.671086,7.377000,152.905675,5.853348,0.000000
2000,1,16,730501,1.606330,1.362200,2.968530,NaN,6.846000,1.953445,4.629000,22.898562,1.399446,3.000000
2000,1,17,730502,-0.587682,3.590250,3.002570,NaN,6.257000,3.550931,6.323000,184.101488,7.449606,0.000000
2000,1,18,730503,0.733231,2.381120,3.114360,NaN,8.119000,3.241147,9.135000,64.523046,2.278170,0.000000
2000,1,19,730504,-0.675424,3.637670,2.962240,NaN,7.927000,5.369319,8.417000,186.888005,7.580916,0.000000
2000,1,20,730505,-0.630485,3.397090,2.766610,NaN,6.994000,4.327298,6.656000,190.037322,7.308540,0.000000
2000,1,21,730506,0.909602,2.180280,3.089880,NaN,8.404000,3.961322,10.646000,110.102292,3.992382,0.000000
2000,1,22,730507,0.990297,1.944550,2.934850,NaN,8.352000,2.607210,7.250000,28.921573,1.607814,11.000000
2000,1,23,730508,0.036061,2.905900,2.941960,NaN,7.886000,2.990296,6.381000,135.330090,5.127372,5.000000
2000,1,24,730509,-0.351589,3.180200,2.828610,NaN,6.324000,3.761744,3.973000,213.827926,8.241768,0.000000
2000,1,25,730510,-1.299840,4.068500,2.768670,NaN,5.105000,4.779690,2.204000,214.394798,8.158825,0.000000
2000,1,26,730511,-0.901192,3.655270,2.754070,NaN,4.125000,3.947534,1.027000,230.043976,8.751312,0.000000
2000,1,27,730512,-0.188085,3.134900,2.946820,NaN,4.057000,3.423481,2.519000,216.386038,8.386614,0.000000
2000,1,28,730513,1.132870,2.088180,3.221050,NaN,5.930000,2.281186,5.827000,0.000000,0.587628,21.000000
2000,1,29,730514,0.308499,3.045070,3.353570,NaN,7.113000,2.360386,8.152000,78.638458,3.125646,0.000000
2000,1,30,730515,0.310804,3.306370,3.617170,NaN,9.164000,3.650167,12.258000,79.213245,3.635712,0.000000
2000,1,31,730516,-0.430885,3.766990,3.336100,NaN,8.259000,3.086436,9.015000,136.821652,6.091885,0.000000
2000,2,1,730517,1.046490,2.435270,3.481760,NaN,9.019000,2.695942,10.477000,0.022245,1.044558,0.000000
2000,2,2,730518,1.248990,2.295100,3.544080,NaN,9.776000,2.202320,10.267000,14.545338,1.630260,5.000000
2000,2,3,730519,-0.430299,4.082370,3.652070,NaN,10.295000,2.706796,10.663000,218.889951,8.700804,0.000000
2000,2,4,730520,-1.184370,4.840300,3.655920,NaN,9.546000,4.026975,9.677000,192.888278,8.051846,0.000000
2000,2,5,730521,-0.753411,4.379390,3.625980,NaN,8.902000,2.870751,8.033000,165.477541,6.186042,0.000000
2000,2,6,730522,1.152510,2.689260,3.841770,NaN,9.747000,1.836024,9.123000,70.893246,2.224944,0.000000
2000,2,7,730523,1.647450,2.212230,3.859680,NaN,9.151000,1.012021,8.023000,8.804579,0.770238,0.000000
2000,2,8,730524,-1.167970,5.413000,4.245030,NaN,10.302000,2.509313,11.004000,174.272422,7.130646,0.000000
2000,2,9,730525,0.642806,3.808200,4.451000,NaN,10.954000,5.107150,12.065000,122.829135,5.373567,0.000000
2000,2,10,730526,-1.474490,5.554590,4.080090,NaN,8.770000,5.416620,8.533000,220.033229,9.281280,0.000000
2000,2,11,730527,0.186159,3.504150,3.690310,NaN,7.430000,3.937532,6.375000,113.867185,3.679164,0.000000
2000,2,12,730528,-1.214880,4.912430,3.697550,NaN,8.021000,4.929968,8.763000,178.354692,7.126758,0.000000
2000,2,13,730529,-1.611810,4.976550,3.364740,NaN,7.650000,2.894159,7.417000,205.406019,8.214714,0.000000
2000,2,14,730530,-1.225890,4.443290,3.217400,NaN,7.851000,2.358070,8.540000,171.426949,7.068996,0.000000
2000,2,15,730531,-1.081660,4.090570,3.008900,NaN,8.458000,2.242029,9.235000,177.916674,7.051896,0.000000
2000,2,16,730532,-0.538100,3.384360,2.846260,NaN,9.251000,2.936154,10.850000,72.817439,2.594196,6.000000
2000,2,17,730533,-1.518600,4.074220,2.555620,NaN,9.635000,7.776026,11.117000,163.422421,9.250494,3.000000
2000,2,18,730534,-1.825610,4.078130,2.252520,NaN,8.945000,7.397848,9.235000,296.825842,11.591197,0.000000
2000,2,19,730535,-2.180610,4.448660,2.268050,NaN,10.440000,5.877497,11.088000,317.359546,12.362381,0.000000
2000,2,20,730536,-2.377510,4.442240,2.064730,NaN,9.101000,5.293305,8.473000,253.880429,10.182558,0.000000
2000,2,21,730537,-2.148040,4.148050,2.000020,NaN,8.558000,6.374440,8.604000,318.003856,12.397815,0.000000
2000,2,22,730538,-2.530910,4.402720,1.871810,NaN,7.989000,5.858534,7.356000,235.556404,9.482801,0.000000
2000,2,23,730539,-2.706420,4.473840,1.767420,NaN,7.377000,5.287935,6.569000,297.878610,11.701434,0.000000
2000,2,24,730540,-2.948950,4.670620,1.721670,NaN,7.178000,5.223565,7.188000,322.665110,12.550004,0.000000
2000,2,25,730541,-0.541849,2.230320,1.688470,NaN,8.191000,3.691617,8.081000,139.583935,5.666215,0.000000
2000,2,26,730542,0.585298,1.106550,1.691850,NaN,9.835000,3.053546,10.096000,NaN,NaN,0.000000
2000,2,27,730543,-1.172850,2.724420,1.551570,NaN,10.569000,3.820623,10.983000,433.429023,11.729832,0.000000
2000,2,28,730544,-2.273550,3.659410,1.385860,NaN,9.930000,4.956247,10.281000,484.898784,12.477325,0.000000
2000,2,29,730545,-1.615510,2.888920,1.273410,NaN,9.318000,3.316439,9.242000,37.877632,2.162813,0.000000
2000,3,1,730546,0.093405,1.187870,1.281270,NaN,11.145000,3.113903,12.502000,NaN,NaN,0.000000
2000,3,2,730547,-2.171240,3.368060,1.196830,NaN,11.091000,7.163746,12.565000,319.439268,12.338585,0.000000
2000,3,3,730548,-1.353680,2.410060,1.056380,NaN,9.454000,4.847834,9.567000,321.193373,12.373192,0.000000
2000,3,4,730549,0.537528,0.519567,1.057090,NaN,11.003000,3.565012,11.444000,NaN,NaN,0.000000
2000,3,5,730550,-3.267760,4.514380,1.246620,NaN,10.371000,5.087898,10.369000,527.237017,13.826410,0.000000
2000,3,6,730551,-3.644460,5.342040,1.697570,NaN,9.092000,6.349097,9.048000,340.642921,12.934222,0.000000
