year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.920214,-0.387209,0.533005,NaN,0.397000,0.153737,-7.211000,14.692638,0.688272,NaN
2000,1,2,730487,1.035810,-0.598556,0.437256,NaN,0.396000,0.192589,-10.317000,18.839930,0.810510,NaN
2000,1,3,730488,0.875542,-0.450102,0.425440,NaN,0.366000,0.191376,-10.731000,15.098673,0.653844,NaN
2000,1,4,730489,0.791041,-0.146567,0.644475,NaN,0.367000,0.083426,-3.717000,5.853196,0.252648,NaN
2000,1,5,730490,0.796319,-0.048103,0.748216,NaN,0.392000,0.449449,-0.478000,20.605673,0.691440,NaN
2000,1,6,730491,0.738937,-0.055539,0.683397,NaN,0.432000,0.441338,-2.489000,21.451472,0.975084,NaN
2000,1,7,730492,0.634737,-0.032847,0.601890,NaN,0.452000,0.246148,-5.032000,33.584384,1.589298,NaN
2000,1,8,730493,0.640090,0.102573,0.742663,NaN,0.461000,0.370883,-2.444000,22.420291,1.002174,NaN
2000,1,9,730494,0.826291,0.131487,0.957779,NaN,0.478000,0.419152,0.055000,8.897635,0.364440,NaN
2000,1,10,730495,0.883919,0.114841,0.998760,NaN,0.494000,0.364322,-0.197000,13.115276,0.576012,NaN
2000,1,11,730496,0.858638,0.100011,0.958650,NaN,0.505000,0.703545,-1.157000,18.978477,0.833430,NaN
2000,1,12,730497,0.716917,0.203483,0.920399,NaN,0.507000,0.256479,-1.540000,11.790071,0.511884,NaN
2000,1,13,730498,0.822803,0.017244,0.840047,NaN,0.517000,1.229400,-2.635000,36.903140,1.728336,NaN
2000,1,14,730499,0.612118,0.043134,0.655251,NaN,0.498000,0.290032,-6.590000,17.085623,0.764958,NaN
2000,1,15,730500,0.555548,0.110403,0.665951,NaN,0.462000,0.152808,-6.530000,25.642294,1.167900,NaN
2000,1,16,730501,0.462193,0.224132,0.686326,NaN,0.431000,0.149273,-6.785000,21.282894,1.240668,NaN
2000,1,17,730502,0.640295,0.194805,0.835100,NaN,0.395000,0.106632,-4.100000,15.666180,0.630360,NaN
2000,1,18,730503,0.697600,0.172220,0.869819,NaN,0.411000,0.109001,-4.810000,11.220906,0.452574,NaN
2000,1,19,730504,0.687219,0.141487,0.828706,NaN,0.423000,0.173415,-8.820000,10.475901,0.464106,NaN
2000,1,20,730505,0.977264,-0.107707,0.869556,NaN,0.401000,0.204803,-12.550000,16.838903,0.741336,NaN
2000,1,21,730506,1.132950,-0.250119,0.882836,NaN,0.349000,0.208546,-15.173000,20.231737,1.043058,NaN
2000,1,22,730507,1.180660,-0.080885,1.099770,NaN,0.300000,0.209125,-15.037000,48.245715,2.268474,NaN
2000,1,23,730508,1.303380,-0.044688,1.258690,NaN,0.258000,0.211040,-15.616000,64.287502,2.903260,NaN
2000,1,24,730509,1.051140,0.463360,1.514500,NaN,0.204000,0.202671,-17.841000,38.935972,1.640328,NaN
2000,1,25,730510,0.996552,0.292446,1.289000,NaN,0.166000,0.185401,-21.465000,40.533542,2.506914,NaN
2000,1,26,730511,0.978536,0.147788,1.126320,NaN,0.116000,0.172592,-23.372000,52.936182,3.214824,NaN
2000,1,27,730512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,28,730513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,29,730514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,30,730515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,31,730516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,1,730517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,2,730518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,3,730519,0.950414,3.186990,4.137400,NaN,0.122000,0.384057,-3.021000,46.137809,1.742664,NaN
2000,2,4,730520,1.076440,2.031340,3.107770,NaN,0.144000,0.426517,-6.425000,75.518535,3.621414,NaN
2000,2,5,730521,1.015660,2.487050,3.502720,NaN,0.154000,0.428428,-2.306000,33.973607,1.457406,NaN
