year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.598130,-0.465663,1.132470,30.452000,2.769000,0.205465,-0.442000,52.824804,2.014649,0.417000
2000,1,2,730487,0.137659,0.907809,1.045470,30.503000,2.242000,0.892910,-1.231000,196.722667,7.587875,0.000000
2000,1,3,730488,-0.108703,1.742580,1.633880,30.477000,2.421000,2.616218,2.910000,220.212667,8.493917,0.000000
2000,1,4,730489,0.030776,1.675800,1.706570,30.385000,2.565000,3.164957,3.706000,115.464667,4.453637,0.000000
2000,1,5,730490,0.478324,1.246270,1.724590,30.325000,2.099000,5.532047,3.674000,224.526729,8.660316,0.000000
2000,1,6,730491,-0.412214,2.496500,2.084290,30.198000,2.382000,6.974406,6.097000,179.475583,6.922629,0.000000
2000,1,7,730492,-0.871357,2.759760,1.888400,30.007000,2.914000,5.396861,5.098000,206.631083,7.970057,0.000000
2000,1,8,730493,-0.638541,2.470530,1.831990,29.879000,2.813000,4.439292,4.788000,203.259458,7.840007,0.000000
2000,1,9,730494,-0.158503,1.947070,1.788560,29.742000,3.075000,3.868242,4.491000,114.250833,4.406818,0.000000
2000,1,10,730495,0.826405,0.939426,1.765830,29.577000,3.801000,1.340671,4.127000,57.688979,2.225146,0.000000
2000,1,11,730496,1.733720,-0.102346,1.631380,31.749000,4.066000,0.178539,2.985000,15.545354,0.599607,38.862000
2000,1,12,730497,0.875314,0.590931,1.466250,34.649000,3.596000,0.449679,1.555000,59.805979,2.306802,0.000000
2000,1,13,730498,-0.543455,2.797360,2.253900,33.994000,4.513000,3.309511,6.435000,192.142812,7.411223,0.000000
2000,1,14,730499,-0.097766,2.610980,2.513210,33.760000,4.087000,5.524849,7.517000,134.591750,5.191396,0.000000
2000,1,15,730500,1.688180,0.709507,2.397690,35.072000,5.111000,1.720156,6.211000,28.620479,1.103933,26.924000
2000,1,16,730501,0.616647,1.115810,1.732460,36.609000,2.920000,0.709700,1.809000,134.525500,5.188841,29.718000
2000,1,17,730502,1.540090,1.025310,2.565400,36.495000,3.004000,0.874422,5.777000,39.297875,1.515775,10.922000
2000,1,18,730503,1.570040,1.392380,2.962420,38.152000,5.854000,0.397825,7.004000,33.503563,1.292280,45.212000
2000,1,19,730504,1.274270,2.072560,3.346820,36.403000,6.236000,0.944482,8.009000,70.075604,2.702916,17.272000
2000,1,20,730505,1.425750,1.228610,2.654360,36.791000,6.723000,0.193093,4.552000,51.195625,1.974688,11.684000
2000,1,21,730506,0.472054,1.729250,2.201300,35.954000,4.013000,1.098397,2.071000,178.147708,6.871412,6.858000
