year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,-0.009977,0.168301,0.158324,NaN,-3.006042,0.860985,-2.297917,NaN,5.522400,0.254000
2000,1,2,730487,-0.116620,0.151842,0.035222,NaN,-5.945000,0.289674,-11.775001,NaN,0.792000,1.016000
2000,1,3,730488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1,4,730489,-0.176704,0.218346,0.041642,NaN,-6.916042,0.345592,-17.087500,NaN,2.907000,0.508000
2000,1,5,730490,0.401482,-0.266258,0.135224,NaN,-4.882292,0.991343,-3.645833,NaN,4.464000,0.000000
2000,1,6,730491,-0.095287,0.232456,0.137169,NaN,-5.291667,0.844748,-7.720833,NaN,6.456600,0.000000
2000,1,7,730492,-0.057641,0.436243,0.378603,NaN,-4.411875,1.839933,-0.408333,NaN,4.761000,0.000000
2000,1,8,730493,-0.103483,0.362461,0.258979,NaN,-4.235834,1.030776,-3.364583,NaN,5.556600,0.000000
2000,1,9,730494,0.137192,0.219419,0.356610,NaN,-3.203750,1.565506,0.087500,NaN,5.419800,0.000000
2000,1,10,730495,0.860435,-0.696202,0.164233,NaN,-3.777500,0.970666,-6.770833,NaN,5.974200,0.000000
2000,1,11,730496,-0.258392,0.279769,0.021377,NaN,-7.406875,0.344561,-16.000000,NaN,3.304800,0.000000
2000,1,12,730497,-0.215127,0.264843,0.049717,NaN,-7.489167,0.327634,-14.110416,NaN,2.444400,0.508000
2000,1,13,730498,-0.494137,0.564027,0.069890,NaN,-7.808333,0.185203,-14.408333,NaN,5.436000,0.000000
2000,1,14,730499,-0.302810,0.327543,0.024733,NaN,-6.301042,0.472155,-9.345834,NaN,3.099600,0.000000
2000,1,15,730500,-0.284320,0.284320,0.000000,NaN,-7.452291,0.323278,-16.077084,NaN,3.790800,0.000000
2000,1,16,730501,-0.337485,0.337485,0.000000,NaN,-7.698750,0.582515,-11.116666,NaN,6.103800,0.000000
2000,1,17,730502,0.193009,-0.185524,0.007485,NaN,-5.856458,1.368600,-3.741667,NaN,7.160400,0.000000
2000,1,18,730503,-0.300628,0.321238,0.020610,NaN,-7.942500,0.412623,-14.452084,NaN,7.297200,0.000000
2000,1,19,730504,-0.644755,0.673353,0.028598,NaN,-8.055208,0.489493,-13.831250,NaN,6.705000,0.000000
2000,1,20,730505,-0.602698,0.616066,0.013368,NaN,-9.587916,0.430279,-16.529167,NaN,7.509600,0.000000
2000,1,21,730506,0.054677,0.041152,0.095829,NaN,-8.102917,1.277826,-6.725000,NaN,7.014600,0.000000
2000,1,22,730507,-0.019216,0.044670,0.025455,NaN,-7.483541,0.745717,-10.443749,NaN,5.533200,0.000000
2000,1,23,730508,-0.266303,0.283871,0.017568,NaN,-9.617291,0.441033,-14.500000,NaN,7.371000,0.000000
2000,1,24,730509,-0.322829,0.345820,0.022991,NaN,-8.753750,0.575313,-10.954166,NaN,7.453800,0.000000
2000,1,25,730510,-0.707595,0.731839,0.024244,NaN,-9.850625,0.627713,-13.618751,NaN,7.137000,0.000000
2000,1,26,730511,-0.248116,0.252494,0.004377,NaN,-7.855417,0.812785,-6.041667,NaN,4.438800,0.000000
2000,1,27,730512,-0.111610,0.111610,0.000000,NaN,-7.962708,1.454196,-8.429167,NaN,6.825600,0.000000
2000,1,28,730513,-0.209740,0.213923,0.004183,NaN,-7.838958,1.400359,-9.777083,NaN,7.567200,0.000000
2000,1,29,730514,-0.233341,0.268607,0.035266,NaN,-8.875417,0.631425,-12.616666,NaN,8.467200,0.000000
2000,1,30,730515,-0.161786,0.202717,0.040931,NaN,-9.205417,0.739699,-10.941667,NaN,8.271000,0.000000
2000,1,31,730516,-0.235980,0.271900,0.035920,NaN,-9.072291,0.747864,-11.129167,NaN,9.000000,0.000000
2000,2,1,730517,-0.082875,0.179168,0.096293,NaN,-8.728541,1.803988,-4.991667,NaN,5.466600,0.000000
2000,2,2,730518,0.488413,-0.296315,0.192098,NaN,-1.868333,2.613107,3.987500,NaN,8.191800,0.000000
2000,2,3,730519,0.513668,-0.427165,0.086504,NaN,-1.709167,1.313742,-3.275000,NaN,9.383400,0.000000
2000,2,4,730520,-0.235282,0.285071,0.049789,NaN,-6.152500,0.846253,-8.497916,NaN,9.228601,0.000000
2000,2,5,730521,0.069110,-0.018439,0.050671,NaN,-6.547709,1.103373,-7.202084,NaN,6.206400,0.000000
2000,2,6,730522,0.088808,-0.087112,0.001695,NaN,-6.943750,1.092439,-8.212501,NaN,9.777600,0.000000
2000,2,7,730523,0.001100,-0.001072,0.000028,NaN,-6.942292,1.077339,-7.385417,NaN,9.185400,0.000000
2000,2,8,730524,0.244674,-0.244244,0.000430,NaN,-2.201667,2.869278,3.460417,NaN,7.700400,0.000000
2000,2,9,730525,-0.010028,0.010318,0.000289,NaN,-0.199792,0.328802,-5.133333,NaN,2.466000,0.254000
2000,2,10,730526,-0.094928,0.094991,0.000063,NaN,-1.561875,0.553112,-16.100000,NaN,8.764200,0.000000
2000,2,11,730527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,12,730528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,13,730529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,14,730530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,15,730531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,16,730532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,17,730533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,18,730534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,19,730535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
