year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.549920,0.282645,1.832570,28.542000,2.852000,NaN,9.526000,199.822917,8.449197,0.000000
2000,1,2,730487,1.919890,0.250775,2.170660,28.001000,5.559000,NaN,14.132000,32.378750,0.440539,0.800000
2000,1,3,730488,1.381590,0.530795,1.912380,31.834000,6.785000,NaN,10.638000,21.096250,0.612796,28.500000
2000,1,4,730489,1.266090,-0.143418,1.122670,33.500000,5.443000,NaN,-0.334000,44.027917,1.501456,0.000000
2000,1,5,730490,1.215580,0.200595,1.416180,32.833000,3.329000,NaN,4.915000,87.817500,3.410878,2.454004
2000,1,6,730491,0.927873,0.176396,1.104270,32.000000,2.997000,NaN,0.783000,233.547083,9.613701,0.100000
2000,1,7,730492,1.149300,-0.101185,1.048120,31.958000,3.035000,NaN,0.615000,245.712500,10.373255,0.000000
2000,1,8,730493,1.119370,-0.064038,1.055330,31.417000,2.500000,NaN,1.478000,98.631708,4.053216,0.000000
2000,1,9,730494,1.190120,0.053986,1.244110,31.000000,4.201000,NaN,5.631000,72.779167,2.877607,0.000000
2000,1,10,730495,1.289840,0.050294,1.340140,30.750000,5.295000,NaN,8.306000,159.464583,6.708911,0.300000
2000,1,11,730496,0.902504,0.135458,1.037960,30.792000,4.578000,NaN,3.659000,250.490000,10.565237,0.000000
2000,1,12,730497,1.149960,-0.113114,1.036840,30.500000,3.819000,NaN,4.522000,212.665000,8.978546,0.000000
2000,1,13,730498,0.776801,0.049705,0.826505,30.292000,4.340000,NaN,0.775000,82.057500,3.363327,0.000000
2000,1,14,730499,0.878464,-0.290956,0.587508,30.583000,2.337000,NaN,-3.982000,229.731250,9.708551,0.000000
2000,1,15,730500,0.703611,0.165065,0.868676,30.125000,2.498000,NaN,2.915000,145.478750,6.175207,0.000000
2000,1,16,730501,0.636258,0.369037,1.005300,29.667000,4.392000,NaN,5.010000,12.364375,4.763247,0.000000
2000,1,17,730502,0.671032,-0.061628,0.609404,30.000000,2.209000,NaN,-4.605000,133.990625,4.395002,0.000000
2000,1,18,730503,0.939516,-0.228167,0.711349,30.000000,1.997000,NaN,-3.187000,167.864286,4.049163,0.300000
2000,1,19,730504,0.695128,0.036460,0.731588,30.000000,1.603000,NaN,-3.536000,100.984706,2.000659,0.000000
2000,1,20,730505,0.923642,-0.374516,0.549126,30.000000,2.172000,NaN,-8.228000,NaN,NaN,0.000000
2000,1,21,730506,0.789372,-0.417187,0.372185,30.208000,1.175000,NaN,-13.290000,286.945000,11.176056,0.000000
2000,1,22,730507,0.912706,-0.179746,0.732961,30.000000,0.977000,NaN,-6.289000,72.199167,2.235330,0.000000
2000,1,23,730508,0.935954,0.014583,0.950538,30.000000,1.603000,NaN,-3.384000,16.593333,5.504828,0.000000
2000,1,24,730509,0.503098,-0.071037,0.432062,29.500000,0.836000,NaN,-12.290000,308.492500,12.135673,0.000000
2000,1,25,730510,0.442869,0.074159,0.517027,29.000000,0.271000,NaN,-9.667000,125.040000,4.463341,0.000000
2000,1,26,730511,0.377408,0.100969,0.478377,29.000000,0.228000,NaN,-9.659000,280.047826,11.431190,0.000000
2000,1,27,730512,0.300342,0.065502,0.365844,28.792000,0.083000,NaN,-11.545000,349.839545,14.580534,0.000000
2000,1,28,730513,0.816919,-0.438168,0.378751,27.626000,-0.112000,NaN,-10.395000,248.062917,9.170403,0.000000
2000,1,29,730514,0.641299,-0.134014,0.507284,28.001000,-0.133000,NaN,-5.735000,54.337917,1.537686,0.000000
2000,1,30,730515,0.578637,-0.046571,0.532066,28.001000,0.003000,NaN,-4.930000,83.951500,5.017656,0.000000
2000,1,31,730516,0.841076,-0.307853,0.533223,28.001000,0.168000,NaN,-4.889000,326.926250,13.058781,0.000000
2000,2,1,730517,0.669387,-0.087940,0.581447,28.084000,0.324000,NaN,-3.684000,305.444167,12.303144,0.000000
2000,2,2,730518,0.686185,-0.121509,0.564676,28.584000,0.354000,NaN,-4.884000,306.855833,12.722257,0.000000
2000,2,3,730519,0.767773,0.106449,0.874222,28.500000,0.560000,NaN,0.703000,225.083333,8.756824,3.000000
2000,2,4,730520,0.956468,-0.203194,0.753274,26.083000,0.871000,NaN,-2.717000,82.485000,2.831699,0.000000
2000,2,5,730521,1.032200,-0.346957,0.685239,24.000000,0.804000,NaN,-4.446000,336.673333,14.068970,0.400000
2000,2,6,730522,0.776602,0.127282,0.903884,23.792000,0.703000,NaN,-0.265000,265.867083,10.211724,2.100000
2000,2,7,730523,1.118360,-0.103968,1.014390,24.458000,1.039000,NaN,1.679000,336.617083,13.150862,4.100000
2000,2,8,730524,0.921452,0.013123,0.934575,25.500000,0.960000,NaN,-0.019000,353.666667,14.005181,1.800000
2000,2,9,730525,1.419250,-0.084613,1.334630,26.625000,1.533000,NaN,6.986000,328.190833,12.434545,1.300000
2000,2,10,730526,1.338450,0.169499,1.507950,27.125000,3.533000,NaN,10.655000,153.401053,6.300597,1.300000
2000,2,11,730527,0.928198,-0.030302,0.897897,26.917000,3.748000,NaN,0.584000,92.835458,3.152351,0.000000
2000,2,12,730528,1.015090,-0.170784,0.844306,26.583000,2.838000,NaN,0.454000,371.956667,14.296979,0.000000
2000,2,13,730529,1.115470,-0.233015,0.882458,28.833000,2.658000,NaN,1.609000,27.903333,0.644684,20.800000
2000,2,14,730530,1.065960,-0.249249,0.816706,29.833000,2.546000,NaN,-0.929000,80.501667,2.782548,0.300000
2000,2,15,730531,1.357280,-0.279924,1.077350,28.584000,2.810000,NaN,2.500000,196.447083,7.547674,1.100000
2000,2,16,730532,1.130330,-0.036696,1.093630,29.251000,3.090000,NaN,1.882000,95.944208,3.622749,0.000000
2000,2,17,730533,1.428750,-0.476883,0.951863,32.500000,1.997000,NaN,-0.863000,232.330000,9.171252,3.000000
2000,2,18,730534,1.390770,-0.259499,1.131270,36.458000,2.705000,NaN,2.034000,52.287917,1.647720,33.700000
2000,2,19,730535,1.583880,-0.631820,0.952055,34.500000,2.555000,NaN,-1.213000,86.783792,3.296689,0.100000
2000,2,20,730536,1.659380,-0.521457,1.137920,33.708000,2.793000,NaN,1.616000,300.865833,12.561372,0.000000
2000,2,21,730537,1.551720,-0.141874,1.409840,33.042000,3.022000,NaN,5.594000,343.643750,14.368430,1.200000
2000,2,22,730538,1.767460,-0.005307,1.762150,33.458000,5.311000,NaN,10.699000,235.353750,9.142200,3.100000
2000,2,23,730539,1.747870,0.269338,2.017200,32.458000,6.699000,NaN,14.509000,336.116250,13.121516,0.200000
2000,2,24,730540,2.059890,-0.024447,2.035440,34.167000,8.456000,NaN,14.877000,231.794000,8.604282,13.900000
2000,2,25,730541,1.691370,0.558663,2.250030,35.042000,9.071000,NaN,18.133000,548.774667,13.286678,0.000000
