year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.457417,-0.103872,0.353544,NaN,-0.503000,2.067755,-4.675000,198.283333,9.040140,0.254000
2000,1,2,730487,0.398780,-0.148759,0.250021,NaN,-0.558000,0.808814,-9.493000,170.604167,7.632182,0.254000
2000,1,3,730488,0.271418,-0.132077,0.139341,NaN,-0.800000,0.853505,-15.556000,203.300000,10.078364,0.000000
2000,1,4,730489,0.382201,-0.105468,0.276733,NaN,-1.135000,1.613701,-8.388000,232.489583,11.447966,0.000000
2000,1,5,730490,0.333199,-0.113368,0.219831,NaN,-1.007000,1.051822,-11.081000,200.791667,9.860425,0.000000
2000,1,6,730491,0.129213,0.105994,0.235207,NaN,-1.139000,1.843830,-10.700000,242.954167,11.650142,0.000000
2000,1,7,730492,0.325952,0.019495,0.345447,NaN,-1.149000,2.537135,-5.733000,191.379167,8.640540,0.000000
2000,1,8,730493,0.332265,-0.032690,0.299575,NaN,-1.064000,1.819805,-8.134000,224.900000,10.715940,0.508000
2000,1,9,730494,0.389990,-0.159440,0.230550,NaN,-1.197000,0.745207,-11.581000,146.460417,6.738840,1.270000
2000,1,10,730495,0.202090,0.111875,0.313965,NaN,-1.232000,0.580225,-8.026000,27.612500,1.005120,23.372000
2000,1,11,730496,0.367354,0.109843,0.477197,NaN,-1.007000,2.870763,-1.729000,245.706250,11.484360,3.560000
2000,1,12,730497,0.412575,-0.005691,0.406884,NaN,-0.775000,1.501296,-4.728000,58.441667,2.358000,2.540000
2000,1,13,730498,0.361221,0.118401,0.479622,NaN,-0.641000,2.434134,-2.600000,241.454167,11.199960,0.762000
2000,1,14,730499,0.613309,0.027737,0.641046,NaN,-0.557000,6.229427,2.374000,232.533333,10.805039,0.000000
2000,1,15,730500,0.420356,0.226464,0.646820,NaN,-0.466000,4.827987,1.851000,225.758333,10.206541,0.000000
2000,1,16,730501,0.586574,0.071133,0.657706,NaN,-0.368000,3.403989,1.552000,204.429167,9.285840,0.508000
2000,1,17,730502,0.614584,0.033999,0.648583,NaN,-0.281000,2.589179,0.900000,235.402083,10.773720,0.000000
2000,1,18,730503,0.726590,-0.103328,0.623262,NaN,-0.227000,1.373009,-0.182000,80.950000,3.289500,16.514000
2000,1,19,730504,0.608118,-0.057060,0.551058,NaN,-0.177000,1.339616,-2.708000,159.660417,7.069320,18.528000
2000,1,20,730505,0.433907,0.152896,0.586804,NaN,-0.152000,2.883643,-1.525000,244.597917,11.369161,0.000000
2000,1,21,730506,0.470157,0.048056,0.518213,NaN,-0.160000,1.659186,-2.695000,152.156250,6.677460,3.302000
2000,1,22,730507,0.502132,-0.182749,0.319383,NaN,-0.162000,0.830923,-8.834000,112.283333,4.778640,2.540000
2000,1,23,730508,0.361777,-0.077939,0.283838,NaN,-0.196000,1.394880,-9.777000,276.331250,13.232162,1.528000
2000,1,24,730509,0.358512,0.041382,0.399894,NaN,-0.255000,1.374217,-5.906000,126.710417,5.350860,2.286000
2000,1,25,730510,0.518782,-0.003925,0.514857,NaN,-0.289000,1.086457,-3.000000,95.797917,3.830940,3.556000
2000,1,26,730511,0.440686,0.050986,0.491672,NaN,-0.264000,0.495406,-4.793000,77.204188,3.083760,6.096000
2000,1,27,730512,0.518432,-0.165349,0.353083,NaN,-0.225000,0.682897,-10.189000,113.534091,7.546476,1.016000
2000,1,28,730513,0.529078,-0.295539,0.233538,NaN,-0.225000,0.773213,-14.551000,258.479167,11.814481,0.000000
2000,1,29,730514,0.654214,-0.408740,0.245474,NaN,-0.288000,0.864311,-13.918000,213.664583,9.642422,0.000000
2000,1,30,730515,0.455740,-0.130248,0.325492,NaN,-0.373000,1.483182,-10.744000,307.522917,14.475240,0.000000
2000,1,31,730516,0.256084,0.131908,0.387991,NaN,-0.447000,2.184477,-8.382000,306.479167,14.422861,0.000000
2000,2,1,730517,0.377943,0.119237,0.497180,NaN,-0.505000,3.404165,-4.572000,304.197917,14.486580,0.000000
2000,2,2,730518,0.666003,0.002854,0.668857,NaN,-0.554000,4.999286,0.921000,211.304167,9.772920,0.000000
2000,2,3,730519,0.282081,0.262027,0.544108,NaN,-0.489000,3.245725,-3.131000,261.593750,12.024361,0.000000
2000,2,4,730520,0.490123,-0.030851,0.459271,NaN,-0.414000,2.317865,-5.899000,288.028261,13.196159,0.000000
2000,2,5,730521,0.587749,-0.025910,0.561839,NaN,-0.409000,2.972152,-2.433000,272.722917,12.117061,0.000000
2000,2,6,730522,0.420720,0.110089,0.530809,NaN,-0.379000,2.344085,-3.397000,206.779167,9.100981,0.000000
2000,2,7,730523,0.503807,0.039643,0.543450,NaN,-0.351000,2.564324,-3.006000,328.991667,15.224940,0.000000
2000,2,8,730524,0.537577,0.135696,0.673273,NaN,-0.336000,5.593448,1.003000,294.791667,13.677481,0.000000
2000,2,9,730525,0.514729,0.065646,0.580376,NaN,-0.309000,2.876139,-1.787000,136.422917,5.838120,0.508000
2000,2,10,730526,0.428473,0.056216,0.484689,NaN,-0.283000,0.658997,-4.563000,104.618750,4.355820,2.286000
2000,2,11,730527,0.411059,0.050154,0.461213,NaN,-0.262000,0.703373,-5.051000,174.383354,7.520940,7.366000
2000,2,12,730528,0.568158,-0.091442,0.476716,NaN,-0.250000,1.672241,-4.254000,188.156250,7.958882,1.016000
2000,2,13,730529,0.385265,-0.020697,0.364568,NaN,-0.239000,0.824556,-7.931000,167.639583,7.374240,5.334000
2000,2,14,730530,0.244758,0.279698,0.524456,NaN,-0.245000,1.326001,-2.539000,160.856250,6.800760,7.366000
2000,2,15,730531,0.543712,-0.087948,0.455764,NaN,-0.238000,1.294871,-5.143000,223.247917,9.717300,10.680000
2000,2,16,730532,0.625759,-0.075801,0.549957,NaN,-0.211000,2.461764,-2.415000,329.929167,14.694301,0.000000
2000,2,17,730533,0.531759,-0.125839,0.405920,NaN,-0.194000,0.703579,-7.752000,129.739583,5.289480,14.744000
2000,2,18,730534,0.569116,-0.185431,0.383686,NaN,-0.180000,0.604222,-9.011000,127.023404,6.819165,6.096000
2000,2,19,730535,0.508527,-0.028094,0.480433,NaN,-0.181000,2.526940,-6.495000,387.054167,18.137699,0.000000
2000,2,20,730536,0.484136,0.242220,0.726355,NaN,-0.190000,4.811475,-0.184000,283.039583,12.477960,0.000000
2000,2,21,730537,0.564916,0.238341,0.803258,NaN,-0.189000,3.805617,1.130000,349.977083,15.716880,0.000000
2000,2,22,730538,0.749239,-0.050818,0.698422,NaN,-0.171000,2.557821,-1.775000,122.541667,4.945860,0.762000
2000,2,23,730539,0.518280,0.189026,0.707306,NaN,-0.146000,3.355694,-1.288000,398.137521,18.386822,0.000000
2000,2,24,730540,0.651445,0.015263,0.666708,NaN,-0.127000,3.025213,-2.108000,251.662500,11.022302,0.000000
2000,2,25,730541,0.486881,-0.160838,0.326043,NaN,-0.120000,0.940361,-11.856000,337.437500,15.429961,0.000000
2000,2,26,730542,0.298324,0.081990,0.380315,NaN,-0.132000,1.549490,-9.705000,414.650000,19.161179,0.000000
2000,2,27,730543,0.568333,0.074871,0.643204,NaN,-0.184000,3.743751,-0.475000,372.441667,16.671421,0.000000
2000,2,28,730544,0.620470,0.032307,0.652778,NaN,-0.210000,4.026849,0.480000,413.077083,18.845461,0.000000
2000,2,29,730545,0.545116,-0.030169,0.514947,NaN,-0.187000,2.503549,-4.144000,430.302083,19.733761,0.000000
2000,3,1,730546,0.547691,0.033079,0.580771,NaN,-0.161000,3.261366,-2.459000,303.377083,13.247821,0.000000
2000,3,2,730547,0.430816,0.080061,0.510877,NaN,-0.170000,0.628948,-4.912000,150.933333,6.201720,0.508000
2000,3,3,730548,0.536014,0.097326,0.633341,NaN,-0.163000,2.670542,-1.695000,444.120833,19.961100,0.000000
2000,3,4,730549,0.530842,0.280213,0.811055,NaN,-0.165000,6.022932,2.893000,451.102083,20.623140,0.000000
2000,3,5,730550,0.597692,0.145071,0.742763,NaN,-0.141000,3.709561,0.616000,303.720833,13.196880,2.540000
2000,3,6,730551,0.418564,0.267395,0.685959,NaN,-0.098000,3.248064,-1.028000,410.691667,19.037647,0.000000
2000,3,7,730552,0.594457,0.084043,0.678500,NaN,-0.062000,2.084247,-0.983000,231.512500,9.752220,3.302000
2000,3,8,730553,0.494664,-0.019108,0.475556,NaN,-0.028000,1.456989,-6.624000,385.202083,17.210165,1.778000
2000,3,9,730554,0.467753,-0.016482,0.451272,NaN,-0.035000,0.993485,-7.048000,229.708333,10.317243,1.016000
2000,3,10,730555,0.476265,-0.097181,0.379085,NaN,-0.067000,1.438556,-8.665000,448.602083,20.169540,0.000000
2000,3,11,730556,0.398242,0.013714,0.411956,NaN,-0.117000,1.412932,-6.727000,393.070833,17.666279,0.762000
2000,3,12,730557,0.384206,0.015684,0.399890,NaN,-0.172000,0.997217,-6.445000,277.144681,13.648741,2.032000
2000,3,13,730558,0.335213,0.145697,0.480910,NaN,-0.196000,2.457419,-3.645000,494.070833,22.640940,0.000000
2000,3,14,730559,0.477692,0.036837,0.514529,NaN,-0.200000,2.270913,-2.632000,490.987500,22.051981,0.508000
2000,3,15,730560,0.491201,-0.118753,0.372447,NaN,-0.195000,0.647072,-7.798000,64.256250,2.183400,22.356000
2000,3,16,730561,0.631720,-0.206362,0.425358,NaN,-0.181000,1.349356,-6.348000,472.341667,20.861820,5.844000
2000,3,17,730562,0.559065,-0.031356,0.527709,NaN,-0.180000,2.519334,-3.324000,490.408333,21.768841,0.254000
2000,3,18,730563,0.479065,-0.122117,0.356948,NaN,-0.180000,1.177362,-9.452000,293.612500,12.644100,0.000000
2000,3,19,730564,0.503873,0.108945,0.612818,NaN,-0.174000,3.037776,-1.846000,509.012500,22.982038,0.000000
2000,3,20,730565,0.575851,-0.208231,0.367619,NaN,-0.170000,0.424924,-9.883000,152.075000,5.217120,4.830000
2000,3,21,730566,0.537903,-0.131989,0.405914,NaN,-0.160000,0.445172,-8.421000,306.856250,13.037580,2.286000
2000,3,22,730567,0.626502,-0.024590,0.601911,NaN,-0.154000,1.697785,-1.830000,261.329167,10.690381,0.254000
2000,3,23,730568,0.549981,0.077989,0.627969,NaN,-0.155000,2.579909,-0.628000,500.204167,22.261501,0.000000
2000,3,24,730569,0.639210,-0.051231,0.587979,NaN,-0.143000,2.421040,-1.429000,468.604167,21.157560,0.762000
2000,3,25,730570,0.625784,0.029320,0.655104,NaN,-0.118000,3.676969,0.737000,443.747917,19.448280,0.000000
2000,3,26,730571,0.332891,0.328637,0.661527,NaN,-0.083000,2.713468,0.076000,482.152083,21.821760,1.270000
2000,3,27,730572,0.591173,0.197266,0.788439,NaN,-0.040000,5.165525,2.609000,561.652083,25.574579,0.000000
2000,3,28,730573,0.666325,0.101846,0.768171,NaN,0.008000,3.030978,1.022000,284.139604,11.831760,2.032000
2000,3,29,730574,0.605748,0.037976,0.643724,NaN,0.045000,2.435582,-3.202000,549.481250,24.815521,0.000000
2000,3,30,730575,0.617366,-0.100933,0.516433,NaN,0.070000,0.576908,-7.315000,132.245833,4.902120,9.910000
2000,3,31,730576,0.976708,-0.019498,0.957210,NaN,0.080000,0.214917,-10.620000,191.345833,5.980230,6.858000
2000,4,1,730577,0.601422,-0.059171,0.542251,NaN,0.077000,1.281940,-7.976000,488.016667,21.910799,8.634000
