year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.182688,0.030489,0.213177,12.977000,-0.421317,0.061732,-1.985000,37.442708,1.674241,0.000000
2000,1,2,730487,0.261690,-0.053986,0.207704,13.000000,-0.321875,0.066536,-2.358000,41.651208,2.115000,0.000000
2000,1,3,730488,0.501645,-0.310792,0.190853,13.000000,-0.278958,0.114911,-3.579000,80.436958,3.603214,0.000000
2000,1,4,730489,0.236128,-0.090602,0.145526,13.000000,-0.335208,0.060625,-7.100000,64.641292,2.627679,0.000000
2000,1,5,730490,0.003518,0.121502,0.125020,13.000000,-0.309167,0.079324,-7.658000,53.197875,2.160000,3.300000
2000,1,6,730491,0.000661,0.126112,0.126773,13.000000,-0.326771,0.049475,-5.487000,118.791042,4.254509,0.000000
2000,1,7,730492,0.431318,-0.374459,0.056859,13.542000,-0.329062,0.704247,-11.713000,104.550833,5.054063,0.000000
2000,1,8,730493,0.428666,-0.315463,0.113203,14.001000,-0.352292,0.530664,-0.467000,110.939083,6.314867,3.550000
2000,1,9,730494,0.465586,-0.339323,0.126264,14.001000,-0.283542,0.777149,1.513000,137.664042,6.050089,0.000000
2000,1,10,730495,-0.145957,0.274666,0.128709,14.001000,-0.162083,0.055919,1.467000,20.734542,0.691875,0.000000
2000,1,11,730496,0.387995,-0.320384,0.067611,14.001000,-0.267708,0.055523,-8.154000,144.851042,1.809643,0.000000
2000,1,12,730497,-0.033033,0.071562,0.038529,14.001000,-0.173958,0.059117,-13.517000,49.707875,0.832500,1.270000
2000,1,13,730498,-0.123243,0.195191,0.071948,14.001000,-0.210208,0.072479,-8.796000,65.069292,0.907634,0.000000
2000,1,14,730499,-0.314434,0.403609,0.089174,14.001000,-0.235104,0.057522,-8.179000,60.493083,0.945000,0.000000
2000,1,15,730500,0.418846,-0.257314,0.161533,14.001000,-0.216146,0.698020,-2.433000,113.573583,1.800402,0.000000
2000,1,16,730501,-0.225903,0.323488,0.097585,14.001000,-0.264688,0.196327,-9.904000,157.336333,2.206205,0.000000
2000,1,17,730502,0.361931,-0.213913,0.148018,14.001000,-0.159375,0.053971,-8.504000,36.624583,1.078795,0.000000
2000,1,18,730503,0.140413,0.094197,0.234609,14.001000,-0.270938,0.125207,-6.717000,164.781750,8.718349,0.000000
2000,1,19,730504,0.011222,0.212872,0.224093,14.001000,-0.223333,0.055347,-10.075000,37.151708,1.481786,0.000000
2000,1,20,730505,0.196881,-0.102771,0.094110,14.001000,-0.447396,0.088936,-17.508000,99.045292,5.996250,0.000000
2000,1,21,730506,0.260556,-0.177760,0.082796,14.001000,-0.529896,0.327429,-16.854000,150.422958,7.372367,0.000000
2000,1,22,730507,0.091567,0.020611,0.112178,13.876000,-0.348854,0.143191,-11.850000,67.468250,2.318706,0.000000
2000,1,23,730508,-0.074753,0.118177,0.043424,13.584000,-0.563646,0.593685,-15.975000,160.002792,7.706652,0.000000
2000,1,24,730509,0.081697,-0.048086,0.033611,13.000000,-0.631979,0.550949,-12.662000,153.494292,6.342992,0.000000
2000,1,25,730510,0.151953,-0.122409,0.029544,13.000000,-0.555937,0.240604,-11.079000,141.678542,4.937143,0.000000
2000,1,26,730511,0.161495,-0.137523,0.023972,13.000000,-0.597292,0.219241,-9.537000,167.909250,7.100358,0.000000
2000,1,27,730512,0.229915,-0.213144,0.016771,13.000000,-0.770208,0.907243,-7.317000,188.056375,7.836429,0.000000
2000,1,28,730513,0.167125,-0.161212,0.005913,13.000000,-0.833438,1.479493,-5.708000,187.418292,7.704643,0.000000
2000,1,29,730514,0.174825,-0.174527,0.000298,13.000000,-0.821979,1.597220,-3.287000,187.350917,7.354688,1.020000
2000,1,30,730515,0.075702,-0.074731,0.000971,13.000000,-0.735417,1.447391,-2.188000,177.883875,7.227322,0.760000
2000,1,31,730516,-0.503821,0.506150,0.002329,13.000000,-0.630313,0.233056,-4.963000,73.784583,2.052322,0.000000
2000,2,1,730517,0.289822,-0.283936,0.005886,13.000000,-0.566042,0.579199,-3.696000,203.666917,8.080714,0.000000
2000,2,2,730518,-0.064988,0.092111,0.027123,13.000000,-0.476562,0.934159,-4.079000,73.304625,2.759063,0.000000
2000,2,3,730519,-0.026324,0.099734,0.073409,13.000000,-0.450000,0.233026,-1.404000,58.888333,2.142723,0.000000
2000,2,4,730520,0.154885,-0.053786,0.101099,13.000000,-0.419479,0.415096,-3.183000,160.680458,6.293571,0.000000
2000,2,5,730521,0.183575,-0.055863,0.127712,13.000000,-0.484792,0.449649,-4.342000,215.404458,8.776607,0.000000
2000,2,6,730522,0.290850,-0.107494,0.183356,13.000000,-0.460208,0.649176,-1.925000,215.504250,8.826027,0.000000
2000,2,7,730523,0.221311,-0.042707,0.178605,13.000000,-0.527812,0.556669,-3.842000,227.308875,8.066651,0.000000
2000,2,8,730524,0.279533,-0.062867,0.216665,13.000000,-0.399583,0.308227,-2.983000,171.141333,6.960134,0.000000
2000,2,9,730525,0.176148,0.120287,0.296435,13.000000,-0.380417,0.146404,-0.233000,102.713042,4.689643,0.000000
2000,2,10,730526,0.230386,-0.002920,0.227466,13.000000,-0.334375,0.085197,-6.258000,69.107458,2.990893,0.000000
2000,2,11,730527,0.318000,-0.157273,0.160727,13.167000,-0.485417,0.319527,-11.646000,240.686333,9.558080,0.000000
2000,2,12,730528,0.046794,0.149625,0.196419,14.001000,-0.394271,0.325639,-10.854000,88.419458,3.753884,0.000000
2000,2,13,730529,0.130117,0.093430,0.223546,13.083000,-0.434062,0.108396,-8.662000,143.768625,6.785357,0.000000
2000,2,14,730530,0.358079,-0.148193,0.209887,13.000000,-0.403229,0.125873,-7.100000,167.615458,6.316072,0.760000
