year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,1.493812,0.976405,2.470217,NaN,12.554166,8.145869,17.118750,NaN,10.800000,0.000000
2000,1,2,730487,1.447762,1.028510,2.476272,NaN,13.179166,9.264288,17.583334,NaN,12.560400,0.000000
2000,1,3,730488,1.396635,1.060571,2.457206,NaN,13.318749,8.698729,16.660418,NaN,12.274200,0.000000
2000,1,4,730489,1.480695,1.011915,2.492610,NaN,13.810417,5.844521,18.195833,NaN,8.582400,0.250000
2000,1,5,730490,1.583237,0.747831,2.331068,NaN,12.893750,8.758866,10.587501,NaN,13.365001,0.000000
2000,1,6,730491,1.537400,0.902401,2.439801,NaN,12.614583,5.956405,15.672916,NaN,8.758801,0.000000
2000,1,7,730492,1.789605,0.614856,2.404462,NaN,13.352084,2.671637,13.841667,NaN,4.960800,0.000000
2000,1,8,730493,1.489220,0.889095,2.378315,NaN,13.104167,6.574326,14.604167,NaN,9.086400,0.000000
2000,1,9,730494,1.771065,0.705718,2.476784,NaN,14.106250,7.711477,17.343750,NaN,10.735200,0.250000
2000,1,10,730495,1.734142,1.015421,2.749563,NaN,14.468750,4.450025,16.883333,NaN,5.913000,7.620000
2000,1,11,730496,1.819843,0.878396,2.698239,NaN,13.404167,7.729280,13.216667,NaN,13.330801,0.250000
2000,1,12,730497,1.509739,1.192771,2.702511,NaN,12.910417,10.064586,13.754167,NaN,13.424400,0.000000
2000,1,13,730498,1.502356,1.210540,2.712896,NaN,12.727084,9.859195,15.243751,NaN,12.915001,0.250000
2000,1,14,730499,2.120642,0.318653,2.439296,NaN,12.312500,8.598153,9.262500,NaN,13.942801,0.000000
2000,1,15,730500,1.569085,0.780232,2.349318,NaN,10.468750,8.715307,6.306271,NaN,13.401001,0.000000
2000,1,16,730501,1.575516,0.932971,2.508487,NaN,10.910417,8.958421,10.245833,NaN,13.658400,0.000000
2000,1,17,730502,1.643245,1.015909,2.659154,NaN,11.239583,5.473700,11.672938,NaN,4.906800,0.000000
2000,1,18,730503,1.193523,1.530985,2.724508,NaN,12.639584,8.970149,16.683332,NaN,10.648800,0.000000
2000,1,19,730504,2.247210,0.462865,2.710075,NaN,13.366666,7.867028,15.595855,NaN,4.102200,1.770000
2000,1,20,730505,2.291667,0.454881,2.746548,NaN,13.431251,6.046768,17.306250,NaN,11.660399,0.250000
2000,1,21,730506,1.773948,0.699837,2.473785,NaN,11.300000,5.135803,6.127083,NaN,14.382000,0.000000
2000,1,22,730507,1.394274,1.191633,2.585906,NaN,10.393750,4.142102,6.752083,NaN,13.971600,0.000000
2000,1,23,730508,1.492210,1.390336,2.882546,NaN,11.666667,3.543185,14.254167,NaN,10.038600,22.350000
2000,1,24,730509,2.334510,0.305896,2.640406,NaN,12.268750,1.883737,9.629167,NaN,1.533600,22.840000
2000,1,25,730510,1.461526,0.256392,1.717918,NaN,9.620833,3.269528,5.422916,NaN,11.971800,0.250000
2000,1,26,730511,1.359116,0.168826,1.527942,NaN,8.704166,4.454443,2.270833,NaN,14.931001,0.000000
2000,1,27,730512,1.851696,-0.268936,1.582761,NaN,8.033334,5.783405,2.860417,NaN,14.157001,0.000000
2000,1,28,730513,1.398780,0.582534,1.981313,NaN,8.470834,1.657887,7.283333,NaN,3.240000,10.139999
2000,1,29,730514,1.398808,0.845840,2.244648,NaN,10.325000,1.000155,13.466667,NaN,5.743800,0.250000
2000,1,30,730515,1.296636,1.022264,2.318901,NaN,12.260417,3.080383,15.727084,NaN,10.269000,14.219999
2000,1,31,730516,1.479357,0.649566,2.128923,NaN,10.977084,0.962778,6.187500,NaN,4.964400,2.540000
2000,2,1,730517,0.947580,1.248149,2.195729,NaN,10.520833,5.201058,8.394813,NaN,14.596200,0.250000
2000,2,2,730518,0.919253,1.298957,2.218210,NaN,11.262500,7.330030,9.985416,NaN,14.126400,0.000000
2000,2,3,730519,1.098869,1.148899,2.247768,NaN,11.177083,8.356701,11.660417,NaN,12.132001,0.000000
2000,2,4,730520,0.959092,1.278894,2.237986,NaN,10.968750,8.608805,11.525021,NaN,15.368401,0.000000
2000,2,5,730521,0.822931,1.297926,2.120857,NaN,10.605208,6.524080,6.402083,NaN,16.293600,0.000000
2000,2,6,730522,0.820718,1.240931,2.061649,NaN,9.702084,7.939459,5.852083,NaN,16.401600,0.000000
2000,2,7,730523,1.105753,1.025921,2.131674,NaN,10.120833,8.531403,8.777083,NaN,15.874201,0.000000
2000,2,8,730524,1.164531,0.987921,2.152452,NaN,10.833333,9.334712,10.245833,NaN,12.162600,0.000000
2000,2,9,730525,0.998147,1.170008,2.168155,NaN,10.831250,7.671540,9.656250,NaN,15.269401,0.000000
2000,2,10,730526,0.985315,1.274195,2.259511,NaN,10.900001,10.765143,11.675000,NaN,16.126200,0.000000
2000,2,11,730527,1.222625,1.120150,2.342775,NaN,11.404167,7.725596,13.304166,NaN,11.818801,0.000000
2000,2,12,730528,1.532732,0.946032,2.478764,NaN,12.506249,5.993350,17.052084,NaN,8.550000,0.000000
2000,2,13,730529,1.326425,1.201654,2.528079,NaN,12.718750,8.189734,16.383354,NaN,11.077200,0.000000
2000,2,14,730530,2.110181,0.502487,2.612668,NaN,13.262500,2.476425,18.366667,NaN,3.375000,9.639999
2000,2,15,730531,1.182188,1.444515,2.626703,NaN,14.139604,7.917862,16.656250,NaN,17.418600,0.250000
2000,2,16,730532,1.134714,1.463160,2.597874,NaN,13.493751,11.479888,15.700000,NaN,16.117201,0.000000
2000,2,17,730533,1.462109,1.222487,2.684595,NaN,14.472959,11.866570,18.835417,NaN,16.133400,0.000000
