year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.322834,0.241775,0.564609,NaN,1.063000,1.407786,-1.680000,123.791042,4.774785,0.000000
2000,1,2,730487,0.458495,0.127007,0.585502,NaN,1.032000,0.474257,-1.103000,10.172750,0.392377,8.300000
2000,1,3,730488,0.524187,-0.108112,0.416076,NaN,1.059000,0.494092,-6.047000,59.895208,2.310364,0.100000
2000,1,4,730489,0.503486,-0.096491,0.406995,NaN,1.084000,0.675354,-6.292000,110.280417,4.253583,0.000000
2000,1,5,730490,0.518875,-0.111715,0.407160,NaN,1.146000,1.208751,-6.312000,125.969542,4.859015,0.000000
2000,1,6,730491,0.380116,0.200572,0.580688,NaN,1.181000,1.330327,-2.055000,28.123542,1.084568,0.000000
2000,1,7,730492,0.658536,-0.192940,0.465596,NaN,1.146000,1.216718,-6.268000,101.721167,3.923547,0.000000
2000,1,8,730493,0.401542,0.323918,0.725461,NaN,1.217000,1.502061,-0.984000,124.123792,4.787585,0.000000
2000,1,9,730494,0.498704,0.198661,0.697365,NaN,1.185000,0.544998,-1.414000,167.025875,6.442544,0.000000
2000,1,10,730495,0.327251,0.473235,0.800487,NaN,1.201000,0.344666,1.207000,34.083167,1.314542,5.000000
2000,1,11,730496,0.578314,0.089014,0.667328,NaN,0.982000,1.001574,-1.638000,54.068083,2.085483,0.400000
2000,1,12,730497,0.767687,-0.369368,0.398318,NaN,1.044000,0.928427,-8.319000,102.348375,3.947715,0.000000
2000,1,13,730498,0.699871,-0.425236,0.274634,NaN,1.008000,0.681510,-12.361000,169.601417,6.541769,0.000000
2000,1,14,730499,0.489150,-0.061635,0.427515,NaN,0.864000,1.057081,-7.671000,94.072167,3.628498,0.000000
2000,1,15,730500,0.321593,0.284921,0.606514,NaN,0.805000,1.016134,-3.280000,83.940542,3.237706,0.000000
2000,1,16,730501,0.691806,-0.323905,0.367900,NaN,0.718000,1.028779,-10.024000,186.972042,7.211835,0.000000
2000,1,17,730502,0.311166,-0.070124,0.241042,NaN,0.441000,0.529863,-14.094000,107.332875,4.139990,0.000000
2000,1,18,730503,0.337117,0.080342,0.417460,NaN,0.305000,0.487056,-8.812000,67.878708,2.618187,0.000000
2000,1,19,730504,0.514150,-0.010743,0.503407,NaN,0.295000,0.854878,-6.715000,91.895542,3.544542,0.000000
2000,1,20,730505,0.602159,-0.396550,0.205609,NaN,0.230000,0.528064,-15.432000,213.229958,8.224623,0.000000
2000,1,21,730506,0.472174,-0.294771,0.177403,NaN,0.220000,0.519843,-15.805000,212.137083,8.182397,0.000000
2000,1,22,730507,0.282076,-0.071849,0.210227,NaN,0.184000,0.534624,-13.855000,173.634458,6.697384,0.000000
2000,1,23,730508,0.340565,-0.035360,0.305206,NaN,0.191000,0.556611,-9.210000,98.532750,3.800510,0.000000
