year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,-0.151092,0.935832,0.784740,32.350002,1.611042,0.038449,1.639792,NaN,1.740262,14.495999
2000,1,2,730487,-0.492377,1.257151,0.764774,32.520832,1.876458,0.218169,0.924583,NaN,2.651024,22.368000
2000,1,3,730488,0.244449,0.508667,0.753116,32.806248,1.785417,0.000000,0.508750,NaN,0.604962,9.168000
2000,1,4,730489,0.024452,0.846297,0.870749,34.922916,2.461458,0.548201,4.757083,NaN,2.680830,52.080002
2000,1,5,730490,-0.728825,1.538363,0.809539,32.527084,2.973541,0.491108,2.512292,NaN,3.504870,17.280001
2000,1,6,730491,-1.345068,2.107569,0.762501,31.583334,2.148333,0.110563,0.285625,NaN,3.291444,0.000000
2000,1,7,730492,-0.984670,1.713416,0.728746,31.368307,2.697151,0.009616,3.680423,NaN,2.631240,1.776000
2000,1,8,730493,-0.332754,1.285907,0.953153,33.620834,4.085833,0.419748,3.811875,NaN,3.091176,18.288000
2000,1,9,730494,-0.198837,1.199143,1.000306,35.479168,3.093542,0.392275,2.083333,NaN,1.800900,24.384001
2000,1,10,730495,0.433614,0.589153,1.022767,33.325001,2.381250,0.000266,0.093333,NaN,0.311148,29.712002
2000,1,11,730496,0.569239,0.539364,1.108602,32.924999,2.034375,0.000000,-0.054583,NaN,0.204120,12.719999
2000,1,12,730497,0.874226,0.319393,1.193619,32.520832,1.977292,0.000000,-0.201875,NaN,0.104130,31.728001
2000,1,13,730498,0.192628,1.111461,1.304089,32.167770,1.940303,0.005206,0.194141,NaN,1.212984,51.071999
2000,1,14,730499,0.309931,1.137185,1.447116,34.493748,1.772292,0.277832,1.141875,NaN,1.016786,25.632000
2000,1,15,730500,0.009852,1.457236,1.467088,33.160416,1.657500,0.240919,-0.191875,NaN,2.216862,11.424000
2000,1,16,730501,1.441412,0.249186,1.690598,33.070835,1.630000,0.647260,2.017500,NaN,0.754580,19.056000
2000,1,17,730502,0.421752,1.347924,1.769675,33.437500,1.525208,0.200696,1.733333,NaN,2.610540,6.096000
2000,1,18,730503,-0.193699,1.948647,1.754947,31.941666,1.580417,0.075386,0.026042,NaN,4.074844,0.000000
2000,1,19,730504,-0.464451,2.156994,1.692543,31.227083,1.624792,0.552822,-0.788750,NaN,2.638602,0.000000
2000,1,20,730505,0.004496,1.737130,1.741626,30.845833,1.656875,0.018499,-1.287917,NaN,3.433360,7.344000
2000,1,21,730506,-0.081075,1.706384,1.625308,30.630953,1.674345,0.008850,-0.468997,NaN,3.700764,21.840000
2000,1,22,730507,0.479287,0.956406,1.435694,30.347916,1.680000,0.000000,-0.032500,NaN,4.465350,0.000000
2000,1,23,730508,-0.434560,1.684309,1.249749,30.204168,1.677083,0.352578,-0.905625,NaN,2.315142,0.000000
2000,1,24,730509,-0.083548,1.255955,1.172408,30.077085,1.670000,0.283359,-0.441875,NaN,3.058670,0.000000
2000,1,25,730510,0.154213,1.014080,1.168293,29.891665,1.668333,0.000000,0.355625,NaN,1.792746,15.984000
2000,1,26,730511,-0.540756,1.640211,1.099455,30.779289,1.641397,0.016267,1.294238,NaN,4.177495,6.864000
2000,1,27,730512,-0.583828,1.578442,0.994614,31.150000,1.596250,0.719506,1.565833,NaN,8.350164,1.776000
2000,1,28,730513,-0.346370,1.268110,0.921740,30.322916,1.581667,0.924431,-0.105833,NaN,9.042931,0.000000
2000,1,29,730514,0.430418,0.458265,0.888683,29.925001,1.580000,0.676246,-1.986875,NaN,3.122316,0.000000
2000,1,30,730515,0.708134,0.209601,0.917735,29.668749,1.585208,0.472554,-2.422292,NaN,1.926740,0.000000
2000,1,31,730516,-0.008590,1.007397,0.998807,29.027084,1.600208,0.103232,-0.517083,NaN,5.426586,10.176000
2000,2,1,730517,0.398194,0.639509,1.037703,37.424999,1.050000,0.044414,2.500000,NaN,0.677610,35.807999
2000,2,2,730518,-0.476862,1.410655,0.933794,35.354168,1.000833,0.146159,3.144167,NaN,4.471560,53.327995
2000,2,3,730519,-1.356611,2.227222,0.870611,34.427082,1.115000,2.387373,5.120833,NaN,6.658146,0.000000
2000,2,4,730520,-0.653946,1.356065,0.702120,33.645832,1.248542,2.539700,3.945208,NaN,3.653156,0.000000
2000,2,5,730521,-0.660368,1.182954,0.522586,32.854843,1.374896,0.596168,1.710229,NaN,2.866081,0.000000
2000,2,6,730522,-1.017394,1.512475,0.495082,32.935417,1.421458,0.045841,2.894375,NaN,4.384656,7.872000
2000,2,7,730523,-1.717600,2.095398,0.377798,32.227085,1.465000,0.548964,4.473542,NaN,4.171014,0.000000
2000,2,8,730524,-0.568014,0.835207,0.267193,35.941666,1.241250,0.000000,3.258333,NaN,1.899882,17.280001
2000,2,9,730525,-1.122347,1.462879,0.340532,33.277084,1.277292,0.954222,3.217500,NaN,6.465528,14.208000
2000,2,10,730526,-1.187514,1.640530,0.453016,32.458332,1.366667,1.400511,2.468542,NaN,7.233896,0.000000
2000,2,11,730527,-1.070902,1.678416,0.607514,32.451389,1.417361,0.064213,2.226011,NaN,4.591372,4.080000
2000,2,12,730528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,13,730529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2,14,730530,0.327392,0.670556,0.997948,32.641666,1.433958,0.146987,0.911875,NaN,0.977029,43.199997
2000,2,15,730531,-0.933412,1.926545,0.993133,34.489582,1.304792,0.128397,2.926458,NaN,5.148162,26.688000
2000,2,16,730532,-1.432607,2.392744,0.960137,32.516666,1.337083,0.823069,2.103333,NaN,8.347140,0.000000
2000,2,17,730533,-1.684962,2.422585,0.737623,31.756250,1.374167,1.523629,2.828750,NaN,NaN,0.000000
2000,2,18,730534,-1.265818,1.732051,0.466233,31.245834,1.408333,1.444928,2.326042,NaN,NaN,0.000000
2000,2,19,730535,-1.581581,1.908994,0.327413,30.841667,1.435833,1.187834,1.825000,NaN,NaN,0.000000
2000,2,20,730536,-1.020337,1.300507,0.280170,30.568750,1.456250,1.245322,1.726875,NaN,NaN,0.000000
2000,2,21,730537,-0.469314,0.674995,0.205681,31.210417,1.439375,0.010332,2.590625,NaN,2.668394,3.072000
2000,2,22,730538,-1.027159,1.270495,0.243336,34.564583,1.254167,0.017162,3.712708,NaN,2.123568,12.432000
2000,2,23,730539,-2.612273,2.776605,0.164332,33.677082,1.215292,0.760444,2.991500,NaN,11.116224,27.167999
2000,2,24,730540,-1.933506,2.228351,0.294845,32.427082,1.242708,0.477322,1.731250,NaN,8.100162,2.784000
2000,2,25,730541,-0.786527,1.243872,0.457345,31.556250,1.286042,0.028363,-0.185000,NaN,2.984490,0.000000
2000,2,26,730542,-0.173605,0.739121,0.565517,33.239582,1.265625,0.000000,0.580625,NaN,1.044288,23.616001
2000,2,27,730543,-1.554060,2.309190,0.755130,34.933334,1.126250,0.146859,3.737292,NaN,8.092403,46.223999
2000,2,28,730544,-0.848852,1.725927,0.877075,33.935417,1.131250,0.151229,3.727708,NaN,3.784374,4.080000
2000,2,29,730545,-0.987772,1.956965,0.969193,35.606251,1.044792,0.216360,2.856458,NaN,4.137192,20.831999
2000,3,1,730546,-1.957068,3.015228,1.058160,33.533333,1.131875,0.390000,2.631250,NaN,7.072650,0.000000
2000,3,2,730547,-0.939104,2.113478,1.174374,33.052082,1.225000,0.012881,4.185000,NaN,4.438026,2.304000
2000,3,3,730548,-0.862440,2.132137,1.269698,32.674934,1.300249,0.177387,3.887933,NaN,6.068160,0.000000
2000,3,4,730549,-0.790080,1.993664,1.203583,33.002083,1.325000,0.394394,3.951875,NaN,4.704823,5.088000
2000,3,5,730550,-2.043321,3.165196,1.121875,32.414585,1.359792,0.344806,1.870417,NaN,6.901110,1.008000
2000,3,6,730551,-2.315747,3.404191,1.088445,31.697916,1.396458,1.222033,1.592083,NaN,8.471160,0.000000
2000,3,7,730552,-2.059802,3.110605,1.050802,31.204168,1.421042,1.997375,2.742292,NaN,8.434998,0.000000
2000,3,8,730553,-1.527554,2.621162,1.093608,31.037500,1.423958,0.331567,3.676042,NaN,6.229962,1.536000
2000,3,9,730554,-1.672099,2.806799,1.134701,31.220833,1.408958,1.140875,3.865625,NaN,8.381269,1.248000
2000,3,10,730555,-2.149469,3.479172,1.329703,31.787500,1.378333,1.107143,4.323333,NaN,8.313678,0.000000
2000,3,11,730556,-1.776644,3.228136,1.451492,33.183334,1.279375,0.333285,3.808750,NaN,7.930910,15.984000
2000,3,12,730557,-1.900519,3.232721,1.332202,31.625000,1.305208,0.872710,3.527292,NaN,7.793514,1.248000
2000,3,13,730558,-1.747294,3.093896,1.346602,32.004189,1.297360,1.430683,5.682665,NaN,10.051092,0.000000
2000,3,14,730559,-1.527375,2.787796,1.260421,33.372917,1.213958,0.852600,4.402083,NaN,7.475096,19.535999
2000,3,15,730560,-3.009342,4.228737,1.219395,32.172916,1.240417,1.930350,3.596042,NaN,13.109617,4.848000
2000,3,16,730561,-2.505666,3.744917,1.239251,34.108334,1.188958,0.616899,3.914167,NaN,10.039593,16.512001
2000,3,17,730562,-0.914286,2.112925,1.198639,33.450001,1.189792,0.369360,3.367500,NaN,4.435722,8.880000
2000,3,18,730563,-0.798289,1.897177,1.098888,34.097916,1.180417,0.329911,4.584583,NaN,3.809322,6.624000
2000,3,19,730564,-1.059223,2.106551,1.047328,33.943752,1.190833,0.267568,2.491667,NaN,6.746292,28.464001
2000,3,20,730565,-2.540240,3.715768,1.175528,32.906250,1.263333,1.441227,3.371042,NaN,17.461443,6.096000
2000,3,21,730566,-3.004274,4.404917,1.400643,32.589584,1.323333,3.055499,7.123125,NaN,16.003298,0.000000
2000,3,22,730567,-0.941261,2.278445,1.337184,33.094257,1.356392,0.433154,5.415559,NaN,5.267430,0.000000
2000,3,23,730568,-2.586987,3.827855,1.240868,33.037502,1.439375,1.048317,3.503750,NaN,13.075110,8.880000
2000,3,24,730569,-2.766863,4.053586,1.286723,32.264584,1.653333,3.084397,5.266250,NaN,18.661772,0.528000
2000,3,25,730570,-2.746597,3.966856,1.220259,31.962500,2.095625,1.997778,5.115625,NaN,11.155413,0.000000
2000,3,26,730571,-2.261359,3.647368,1.386009,31.704168,2.496042,3.912182,6.725208,NaN,19.067184,0.000000
2000,3,27,730572,-3.422202,4.895224,1.473022,31.489584,3.108750,0.937906,5.075625,NaN,8.367084,0.000000
2000,3,28,730573,-2.935968,4.541827,1.605859,31.468750,3.212708,0.871869,3.582916,NaN,11.860668,0.000000
2000,3,29,730574,-3.500222,5.363892,1.863669,30.914583,3.136875,2.576375,4.621875,NaN,15.987512,10.656000
2000,3,30,730575,-1.189131,3.566353,2.377222,30.475655,3.402964,5.095794,7.154807,NaN,20.574522,0.000000
2000,3,31,730576,-1.495360,4.494596,2.999236,30.189583,4.116042,6.287347,9.991875,NaN,20.279430,0.000000
2000,4,1,730577,-1.473056,4.703577,3.230521,29.891668,5.192500,5.475159,12.473354,NaN,20.076014,0.000000
2000,4,2,730578,-0.999564,4.021291,3.021727,29.616667,5.928750,6.340158,11.918750,NaN,21.317652,0.000000
2000,4,3,730579,-0.163662,3.193645,3.029983,29.237501,6.712083,7.828218,13.366459,NaN,20.709539,0.000000
2000,4,4,730580,-1.959381,4.472394,2.513014,29.058334,6.885000,1.930873,7.682917,NaN,8.870831,0.000000
